datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,136.67,140.83,135.83,137.75,3217014,,,,,,,,,,,,
2008-07-18 12:07:00,138.33,145.83,135.83,144.83,5720748,,,,,,,,,,,,
2008-07-21 12:07:00,145.0,152.63,143.54,151.25,8250851,,,,,,,,,,,,
2008-07-22 12:07:00,150.83,155.71,149.17,154.13,8678811,,,,,,,,,,,,
2008-07-23 12:07:00,158.17,164.08,156.67,158.71,15564415,,,,,,,,,,,,
2008-07-24 12:07:00,159.17,161.04,151.79,154.63,8271000,,,,,,,,,,,,
2008-07-28 12:07:00,155.83,157.92,153.0,153.96,4083282,,,,,,,,,,,,
2008-07-29 12:07:00,150.54,153.75,145.96,148.75,7883850,,,,,,,,,,,,
2008-07-30 12:07:00,150.0,150.67,140.88,142.42,14682063,,,,,,,,,,,,
2008-07-31 12:07:00,141.71,146.58,140.42,141.96,13203700,,,,,,,,,,,,
2008-08-01 12:08:00,143.42,148.17,140.08,147.33,6255161,,,,,,,,,,,,
2008-08-04 12:08:00,148.33,150.29,144.46,145.63,4710335,,,,,,,,,,,,
2008-08-05 12:08:00,146.67,152.92,145.46,152.33,12232969,,,,,,,,,,,,
2008-08-06 12:08:00,153.04,156.17,149.5,150.5,5941311,58.814553139510934,,,,,,,,,,,
2008-08-07 12:08:00,151.67,155.71,150.0,153.0,3743912,61.83682004288754,,,,,,,,,,,
2008-08-08 12:08:00,154.17,154.58,150.5,154.13,4518552,63.15299710993719,,,,,,,,,,,
2008-08-11 12:08:00,156.67,157.5,151.96,154.83,8561497,63.981697018766994,,,,,,,,,,,
2008-08-12 12:08:00,155.0,158.13,152.54,154.29,7677883,62.80817378625973,,,,,,,,,,,
2008-08-13 12:08:00,151.08,156.33,151.08,155.33,5473329,64.17116448764469,,,,,,,,,,,
2008-08-14 12:08:00,155.75,155.75,150.25,151.25,4521700,55.56759798003978,,,,,,,,,,,
2008-08-18 12:08:00,151.25,153.0,147.58,150.29,2700023,53.7418250485082,,,,,,,,,,,
2008-08-19 12:08:00,148.75,152.46,148.58,151.46,3006810,55.654216461471385,,,,,,,,,,,
2008-08-20 12:08:00,152.42,155.0,152.17,153.25,3412027,58.482185359998645,,,,,,,,,,,
2008-08-21 12:08:00,152.96,152.96,143.79,144.58,8586607,43.884494906879745,,,,,,,,,,,
2008-08-25 12:08:00,141.21,144.75,141.21,142.5,2824573,41.225857127230434,,,,,,,,,,,
2008-08-26 12:08:00,141.67,144.08,140.5,143.42,3267296,42.874354885844326,,,,,,,,,,,
2008-08-27 12:08:00,143.83,144.75,141.5,142.75,3515469,41.95152537973363,,,,,,,,,,,
2008-08-28 12:08:00,143.0,143.25,140.83,141.42,6355514,40.10610268736339,,,,,,,,,,,
2008-08-29 12:08:00,142.5,146.54,142.5,145.75,4447114,48.10922087255671,,,,,,,,,,,
2008-09-01 12:09:00,144.96,145.25,141.08,144.33,3072149,45.94119683485169,,,,,,,,,,,
2008-09-02 12:09:00,145.08,150.0,143.54,147.63,3611459,51.42020248922966,,,,,,,,,,,
2008-09-04 12:09:00,141.67,147.0,141.67,145.08,3505853,47.42063005831563,,,,,,,,,,,
2008-09-05 12:09:00,143.25,145.75,141.92,144.58,5598539,46.654351891527426,,,,,,,,,,,
2008-09-08 12:09:00,157.5,160.0,148.33,151.29,12374233,56.75392520135492,,,,,,,,,,,
