datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,14.12,15.2,14.12,14.68,2546,,,,,,,,,,,,
2008-07-18 12:07:00,14.22,15.1,14.22,14.57,3318,,,,,,,,,,,,
2008-07-21 12:07:00,13.11,14.75,13.11,14.41,864,,,,,,,,,,,,
2008-07-22 12:07:00,14.01,15.3,14.01,14.64,3204,,,,,,,,,,,,
2008-07-23 12:07:00,14.2,16.2,14.2,16.12,84637,,,,,,,,,,,,
2008-07-24 12:07:00,15.12,16.5,15.12,15.79,8482,,,,,,,,,,,,
2008-07-28 12:07:00,14.8,16.8,14.8,16.56,3180,,,,,,,,,,,,
2008-07-29 12:07:00,15.23,16.6,15.23,16.0,1691,,,,,,,,,,,,
2008-07-30 12:07:00,15.32,16.65,15.32,16.25,10040,,,,,,,,,,,,
2008-07-31 12:07:00,16.6,16.6,15.7,15.94,5642,,,,,,,,,,,,
2008-08-01 12:08:00,15.01,16.0,15.01,15.98,2170,,,,,,,,,,,,
2008-08-04 12:08:00,15.5,16.3,15.4,15.55,15973,,,,,,,,,,,,
2008-08-05 12:08:00,15.5,16.2,15.5,15.82,32735,,,,,,,,,,,,
2008-08-06 12:08:00,15.6,16.1,15.4,15.54,9700,53.67716533764908,,,,,,,,,,,
2008-08-07 12:08:00,14.72,15.69,14.72,15.47,1592,52.485971425925364,,,,,,,,,,,
2008-08-08 12:08:00,14.4,15.8,14.4,15.39,2124,51.09053525801907,,,,,,,,,,,
2008-08-11 12:08:00,14.3,17.19,14.3,16.92,21790,68.39629994128096,,,,,,,,,,,
2008-08-12 12:08:00,17.3,17.69,16.8,17.26,49055,70.86351606972447,,,,,,,,,,,
2008-08-13 12:08:00,15.66,17.3,15.66,17.12,58182,68.49243885708239,,,,,,,,,,,
2008-08-14 12:08:00,16.3,17.4,16.3,16.82,12798,63.58289441220654,,,,,,,,,,,
2008-08-18 12:08:00,17.17,17.17,16.5,16.57,4843,59.73992709637487,,,,,,,,,,,
2008-08-19 12:08:00,15.52,16.63,15.52,16.23,2658,54.8817027517818,,,,,,,,,,,
2008-08-20 12:08:00,15.7,16.45,15.7,16.15,1258,53.77360572519101,,,,,,,,,,,
2008-08-21 12:08:00,16.22,16.9,15.71,15.8,2999,49.10253083757373,,,,,,,,,,,
2008-08-25 12:08:00,15.6,16.39,15.6,16.16,133795,53.57003689315421,,,,,,,,,,,
2008-08-26 12:08:00,16.95,16.95,15.56,16.55,9922,57.88297691250216,,,,,,,,,,,
2008-08-27 12:08:00,16.11,16.5,16.0,16.1,1610,51.89310757573229,,,,,,,,,,,
2008-08-28 12:08:00,16.0,16.3,16.0,16.1,8548,51.89310757573229,,,,,,,,,,,
2008-08-29 12:08:00,15.62,16.25,15.62,16.13,37694,52.274955941053584,,,,,,,,,,,
2008-09-01 12:09:00,14.71,16.4,14.71,15.87,1829,48.66936782248449,,,,,,,,,,,
2008-09-02 12:09:00,15.11,16.2,15.11,15.97,5375,50.09509684730192,,,,,,,,,,,
2008-09-04 12:09:00,15.26,16.14,15.26,15.89,2887,48.92435759317656,,,,,,,,,,,
2008-09-05 12:09:00,15.23,16.0,15.23,15.66,4863,45.62315053838755,,,,,,,,,,,
2008-09-08 12:09:00,15.11,15.97,15.11,15.91,35106,49.60370098996679,,,,,,,,,,,
2008-09-09 12:09:00,15.23,15.9,15.23,15.65,4093,45.844989499385775,,,,,,,,,,,
2008-09-10 12:09:00,15.21,15.8,15.21,15.55,1673,44.449884537664715,,,,,,,,,,,
2008-09-11 12:09:00,15.12,15.7,15.12,15.5,3358,43.73327644427178,,,,,,,,,,,
2008-09-12 12:09:00,15.2,15.5,14.9,15.1,3948,38.3997533841015,,,,,,,,,,,
2008-09-15 12:09:00,13.32,15.8,13.32,15.13,12799,39.000613771877276,,,,,,,,,,,
