datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,57.5,58.0,54.55,55.63,55798,,,,,,,,,,,,
2008-07-18 12:07:00,56.5,57.95,55.63,57.18,88945,,,,,,,,,,,,
2008-07-21 12:07:00,56.05,58.38,55.05,57.5,52563,,,,,,,,,,,,
2008-07-22 12:07:00,56.88,61.5,56.5,57.7,608814,,,,,,,,,,,,
2008-07-23 12:07:00,59.95,69.25,58.5,68.83,105521,,,,,,,,,,,,
2008-07-24 12:07:00,69.98,82.6,67.9,78.45,823619,,,,,,,,,,,,
2008-07-28 12:07:00,83.68,91.48,82.05,91.38,98853,,,,,,,,,,,,
2008-07-29 12:07:00,90.5,96.25,82.25,92.55,205987,,,,,,,,,,,,
2008-07-30 12:07:00,97.0,98.5,93.5,95.4,230337,,,,,,,,,,,,
2008-07-31 12:07:00,95.5,98.45,90.7,96.28,70321,,,,,,,,,,,,
2008-08-01 12:08:00,96.95,96.95,91.65,93.58,37030,,,,,,,,,,,,
2008-08-04 12:08:00,92.03,94.7,91.0,92.13,21378,,,,,,,,,,,,
2008-08-05 12:08:00,91.5,101.35,91.5,101.35,63746,,,,,,,,,,,,
2008-08-06 12:08:00,107.3,111.5,101.25,103.15,65671,90.71452780110512,,,,,,,,,,,
2008-08-07 12:08:00,104.0,110.7,102.05,103.0,38219,90.31748310338727,,,,,,,,,,,
2008-08-08 12:08:00,100.78,105.0,95.5,99.88,66527,82.25324038356015,,,,,,,,,,,
2008-08-11 12:08:00,103.5,104.0,97.53,98.58,34988,79.0847110074054,,,,,,,,,,,
2008-08-12 12:08:00,99.95,102.25,91.05,92.55,47211,66.32254109161676,,,,,,,,,,,
2008-08-13 12:08:00,92.0,92.5,90.0,90.3,15707,62.28370421014054,,,,,,,,,,,
2008-08-14 12:08:00,88.35,96.98,86.28,93.6,77334,65.59315628199349,,,,,,,,,,,
2008-08-18 12:08:00,91.55,93.0,88.5,89.5,9161,58.70139699765686,,,,,,,,,,,
