datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2015-05-26 12:05:00,77.4,77.4,69.28,72.1,3467507,,,,,,,,,,,,
2015-05-27 12:05:00,71.56,83.97,70.0,80.56,1470476,,,,,,,,,,,,
2015-05-28 12:05:00,79.7,82.78,77.97,81.08,323122,,,,,,,,,,,,
2015-05-29 12:05:00,80.8,81.66,77.12,79.95,136349,,,,,,,,,,,,
2015-06-01 12:06:00,77.1,82.2,77.1,80.72,290320,,,,,,,,,,,,
2015-06-02 12:06:00,81.38,81.8,76.61,78.97,478192,,,,,,,,,,,,
2015-06-03 12:06:00,79.56,80.0,70.3,77.1,104628,,,,,,,,,,,,
2015-06-04 12:06:00,78.01,78.76,76.46,76.96,31444,,,,,,,,,,,,
2015-06-05 12:06:00,76.96,77.02,73.45,75.89,73484,,,,,,,,,,,,
2015-06-08 12:06:00,74.0,76.79,72.03,75.71,44644,,,,,,,,,,,,
2015-06-09 12:06:00,74.71,76.39,73.92,75.87,19976,,,,,,,,,,,,
2015-06-10 12:06:00,76.99,76.99,75.0,76.24,48007,,,,,,,,,,,,
2015-06-11 12:06:00,76.79,77.4,72.4,74.92,23656,,,,,,,,,,,,
2015-06-12 12:06:00,75.0,75.9,74.32,75.21,90091,50.16641945017703,,,,,,,,,,,
2015-06-15 12:06:00,74.86,76.5,74.51,75.98,13535,54.11128682783076,,,,,,,,,,,
2015-06-16 12:06:00,75.25,76.07,74.7,75.89,16509,53.57742530373615,,,,,,,,,,,
2015-06-17 12:06:00,75.03,76.8,74.71,75.99,9828,54.11907080282305,,,,,,,,,,,
2015-06-18 12:06:00,75.2,78.55,75.2,77.61,14570,61.878883294270445,,,,,,,,,,,
2015-06-19 12:06:00,75.0,77.74,75.0,75.61,5384,50.51900934518482,,,,,,,,,,,
2015-06-22 12:06:00,76.17,76.17,74.02,75.77,70250,51.2894317624485,,,,,,,,,,,
2015-06-23 12:06:00,75.6,77.41,75.0,76.09,21007,52.86996265215106,,,,,,,,,,,
2015-06-24 12:06:00,76.78,76.78,74.21,75.84,15398,51.46499463597491,,,,,,,,,,,
2015-06-25 12:06:00,75.0,79.4,75.0,78.07,15795,61.33513755583557,,,,,,,,,,,
2015-06-26 12:06:00,78.6,81.8,77.26,79.92,93918,67.27990029786226,,,,,,,,,,,
2015-06-29 12:06:00,79.4,79.4,75.0,76.97,82590,53.22651227910499,,,,,,,,,,,
2015-06-30 12:06:00,77.95,78.92,77.26,77.88,5034,56.261543813756994,,,,,,,,,,,
2015-07-01 12:07:00,79.58,80.2,76.6,79.88,11639,62.08461628650765,,,,,,,,,,,
2015-07-02 12:07:00,78.4,80.2,78.0,78.99,8896,58.36107057532162,,,,,,,,,,,
2015-07-03 12:07:00,80.79,88.6,79.3,82.04,330813,65.90728003498361,,,,,,,,,,,
2015-07-06 12:07:00,82.18,84.82,80.43,81.44,166301,63.470386595049646,,,,,,,,,,,
2015-07-07 12:07:00,82.2,84.4,81.63,82.79,430990,66.4740511493878,,,,,,,,,,,
2015-07-08 12:07:00,82.94,82.94,78.25,80.27,156284,57.0448620890862,,,,,,,,,,,
2015-07-09 12:07:00,79.2,82.0,79.2,81.06,125800,59.00792118456121,,,,,,,,,,,
2015-07-10 12:07:00,81.2,81.89,79.6,81.31,24662,59.63656404185427,,,,,,,,,,,
2015-07-13 12:07:00,81.03,81.99,80.63,81.66,25035,60.548737984426104,,,,,,,,,,,
2015-07-14 12:07:00,81.01,82.0,80.56,81.66,42885,60.548737984426104,,,,,,,,,,,
2015-07-16 12:07:00,81.61,83.98,81.61,83.56,30969,65.46271034589645,,,,,,,,,,,
2015-07-17 12:07:00,82.8,85.1,82.8,84.56,37739,67.74023991739216,,,,,,,,,,,
2015-07-20 12:07:00,83.25,85.74,83.02,84.98,27066,68.6745834841733,,,,,,,,,,,
2015-07-21 12:07:00,84.62,85.8,82.4,83.88,29083,63.488178656110556,,,,,,,,,,,
2015-07-22 12:07:00,83.6,84.35,80.6,81.72,45227,54.74515214563553,,,,,,,,,,,
2015-07-23 12:07:00,84.36,84.6,81.6,83.5,34083,59.673591397346556,,,,,,,,,,,
2015-07-24 12:07:00,84.44,88.0,82.5,86.21,68919,65.78325100243816,,,,,,,,,,,
2015-07-27 12:07:00,82.52,86.78,82.52,85.6,26816,63.45288534733109,,,,,,,,,,,
2015-07-28 12:07:00,84.8,88.0,83.6,87.22,82651,66.81505556107214,,,,,,,,,,,
2015-07-29 12:07:00,88.2,96.0,88.2,95.18,283523,77.68026952542505,,,,,,,,,,,
2015-07-30 12:07:00,95.0,95.4,92.1,93.12,59030,71.18462533281225,,,,,,,,,,,
2015-07-31 12:07:00,95.99,95.99,93.1,94.0,102173,72.25206256241992,,,,,,,,,,,
2015-08-03 12:08:00,94.94,96.8,92.24,93.81,19668,71.63504260596844,,,,,,,,,,,
2015-08-04 12:08:00,94.1,95.0,91.2,92.79,15433,68.26468261258226,82.0470005206008,,,,,,,,,,
2015-08-05 12:08:00,91.0,93.2,90.02,91.38,36798,63.79630451753645,82.41300050018508,,,,,,,,,,
2015-08-06 12:08:00,90.6,94.99,90.6,92.84,13949,66.25910306371654,82.8219024413543,,,,,,,,,,
2015-08-07 12:08:00,92.0,97.2,90.31,96.28,32724,71.22581807026032,83.3496709730659,,,,,,,,,,
2015-08-10 12:08:00,92.0,96.6,92.0,93.89,101458,64.15943334469804,83.76301720941626,,,,,,,,,,
2015-08-11 12:08:00,96.2,96.2,91.0,93.21,13478,62.2666071825718,84.1334871227725,,,,,,,,,,
2015-08-12 12:08:00,92.0,92.0,87.03,89.3,25425,52.648516323296384,84.33609547089907,,,,,,,,,,
2015-08-13 12:08:00,90.84,90.84,86.8,89.04,19487,52.0725149742187,84.52056231517753,,,,,,,,,,
2015-08-14 12:08:00,88.0,98.0,87.42,95.38,216665,62.7690300511169,84.94642261654312,,,,,,,,,,
2015-08-17 12:08:00,96.7,98.0,94.26,95.79,21426,63.338856956309556,85.37166094530613,,,,,,,,,,
2015-08-18 12:08:00,96.4,106.74,96.4,105.11,180203,73.33105737933549,86.14571345725491,,,,,,,,,,
2015-08-19 12:08:00,104.0,104.8,102.02,103.59,126337,69.98103391836733,86.82980312559786,,,,,,,,,,
2015-08-20 12:08:00,101.45,104.0,97.03,101.86,91551,66.27024965241333,87.41922261086854,,,,,,,,,,
2015-08-21 12:08:00,97.72,99.54,96.52,97.71,43677,58.28596486747943,87.82278250848154,,,,,,,,,,
2015-08-24 12:08:00,89.02,95.6,85.6,86.68,68531,43.34014172999818,87.77796750814893,,,,,,,,,,
2015-08-25 12:08:00,89.0,90.6,81.6,88.19,93408,45.40410496427513,87.79412564508426,,,,,,,,,,
2015-08-26 12:08:00,89.71,91.88,85.9,91.05,69284,49.18012131526515,87.92180699233586,,,,,,,,,,
2015-08-27 12:08:00,91.8,97.59,89.02,96.67,44690,55.66856619702192,88.26487338479329,,,,,,,,,,
2015-08-28 12:08:00,99.0,99.79,96.06,98.06,32040,57.12656914531395,88.64899599715434,,,,,,,,,,
2015-08-31 12:08:00,98.99,100.79,95.0,100.01,11807,59.15602282609507,89.09452556589339,,,84.18549658235273,,,,,,,
2015-09-01 12:09:00,97.01,97.5,93.2,96.03,17292,53.58113703408943,89.3665049554662,,,84.18549658235273,,,,,,,
2015-09-02 12:09:00,96.99,97.21,94.2,96.33,6250,53.93354415366982,89.63958319250675,,,84.18549658235273,,,,,,,
2015-09-03 12:09:00,96.33,97.0,94.02,94.78,7120,51.747617132221635,89.84116816534963,,,84.18549658235273,,,,,,,
2015-09-04 12:09:00,94.12,99.0,89.0,95.49,12802,52.693439126524694,90.06269098239476,,,84.18549658235273,,,,,,,
2015-09-07 12:09:00,95.06,97.06,90.25,93.74,10909,50.08738526306916,90.20689917916359,,,73.99990741098061,,,,,,,
2015-09-08 12:09:00,93.0,94.0,92.0,93.91,9015,50.344301466163934,90.35211881919639,,,73.99990741098061,,,,,,,
2015-09-09 12:09:00,94.97,96.8,91.64,96.22,33144,53.8225369765093,90.58223180667889,,,73.99990741098061,,,,,,,
2015-09-10 12:09:00,93.61,94.8,93.12,94.02,12576,50.21493839556585,90.71704624563266,,,73.99990741098061,,,,,,,
2015-09-11 12:09:00,95.4,95.6,93.82,94.45,5629,50.90756485113815,90.86343658894118,,,73.99990741098061,,,,,,,
2015-09-14 12:09:00,93.59,93.77,91.02,91.69,46372,46.44143855029634,90.89585084035525,,,70.2935341385684,,,,,,,
2015-09-15 12:09:00,91.12,91.88,90.0,91.32,8529,45.86058639344839,90.91248414073348,,,70.2935341385684,,,,,,,
2015-09-16 12:09:00,91.69,94.2,90.83,93.44,33354,49.73946236158216,91.01160240972433,,,70.2935341385684,,,,,,,
2015-09-18 12:09:00,91.01,96.97,89.11,96.02,15837,54.05376678460592,91.2080101583626,,,70.2935341385684,,,,,,,
2015-09-21 12:09:00,96.02,96.69,94.2,95.93,5853,53.880019156491876,91.39318623058368,,,72.53031126960853,,,,,,,
2015-09-22 12:09:00,97.0,98.0,94.19,94.81,7547,51.65484415004925,91.52717892742353,,,72.53031126960853,,,,,,,
2015-09-23 12:09:00,96.33,96.33,92.0,94.43,8229,50.886964367657335,91.64101504791674,,,72.53031126960853,,,,,,,
2015-09-24 12:09:00,94.0,99.6,92.54,97.29,9058,56.16823319318929,91.86254386956706,,,72.53031126960853,,,,,,,
2015-09-28 12:09:00,97.01,98.4,94.3,97.33,6482,56.23911034875696,92.07695391389777,,,74.22122976310968,,,,,,,
2015-09-29 12:09:00,97.33,99.7,95.01,97.4,9024,56.37206535331167,92.2857008192351,,,74.22122976310968,,,,,,,
2015-09-30 12:09:00,98.59,100.0,97.04,99.73,8214,60.65686103752976,92.57763412044157,,,74.22122976310968,,,,,,,
2015-10-01 12:10:00,100.84,101.2,98.4,100.16,6445,61.41010605386568,92.87498180199287,,,74.22122976310968,,,,,,,
2015-10-05 12:10:00,108.6,108.6,100.2,103.09,7634,66.16381414861176,93.27557075093434,,,77.57991328032001,,,,,,,
2015-10-06 12:10:00,104.4,104.4,100.11,103.07,56899,66.10395460171549,93.65966601560359,,,77.57991328032001,,,,,,,
2015-10-07 12:10:00,102.0,106.0,102.0,104.27,85005,67.97603268797099,94.07575754440346,,,77.57991328032001,,,,,,,
2015-10-08 12:10:00,103.02,104.2,101.2,103.81,8072,66.46072348572986,94.45749254266215,,,77.57991328032001,,,,,,,
2015-10-09 12:10:00,107.6,107.6,103.21,104.02,109959,66.82431313916274,94.83249283510678,,,77.57991328032001,,,,,,,
2015-10-12 12:10:00,104.1,106.0,102.0,104.21,6593,67.17107670074947,95.20023821412221,,,81.13915942087574,,,,,,,
2015-10-13 12:10:00,102.98,105.79,102.98,104.55,2826,67.81929177880305,95.56689553905859,,,81.13915942087574,,,,,,,
2015-10-14 12:10:00,103.51,104.77,102.53,103.9,2128,65.17000268600506,95.8936839492916,,,81.13915942087574,,,,,,,
2015-10-15 12:10:00,103.99,104.79,101.02,102.99,9554,61.54521074617907,96.17197085324095,,,81.13915942087574,,,,,,,
2015-10-16 12:10:00,101.41,105.8,100.0,103.53,11651,62.865150366433156,96.46052101585896,90.70901302381439,,81.13915942087574,,,,,,,
2015-10-19 12:10:00,103.2,106.0,101.52,103.4,12384,62.31065208863257,96.73265744660958,90.96031969661016,,79.41562426044494,,,,,,,
2015-10-20 12:10:00,101.23,103.49,100.6,102.53,11567,58.58633090823247,96.9600042134092,91.18942227687529,,79.41562426044494,,,,,,,
2015-10-21 12:10:00,102.4,103.8,98.8,101.73,14774,55.31244810295378,97.14706287170688,91.3981465882243,,79.41562426044494,,,,,,,
2015-10-23 12:10:00,104.36,105.6,102.0,103.46,26272,60.45835957703265,97.39462903360074,91.63699517063569,,79.41562426044494,,,,,,,
2015-10-26 12:10:00,101.2,104.0,101.2,103.15,12180,59.144081354171114,97.62032985581247,91.86497546428646,,79.15694280296849,,,,,,,
2015-10-27 12:10:00,103.0,103.58,99.4,102.9,18153,58.04815252130552,97.82737574381983,92.08349080162732,,79.15694280296849,,,,,,,
2015-10-28 12:10:00,102.99,102.99,100.06,101.69,11560,52.93548014135024,97.9788512048465,92.27371870654558,,79.15694280296849,,,,,,,
2015-10-29 12:10:00,101.19,103.4,100.31,101.7,15341,52.9723449682273,98.12477860857801,92.46037774205953,,79.15694280296849,,,,,,,
2015-10-30 12:10:00,102.7,102.9,100.28,102.03,14709,54.245984140639884,98.27792454549652,92.6498752125138,,79.15694280296849,,,,,,,
2015-11-02 12:11:00,102.03,103.38,101.0,102.79,9105,57.125854247620396,98.45486868096725,92.85066976276104,,73.86379929905553,,,,,,,
2015-11-03 12:11:00,103.4,105.6,102.09,105.17,54757,64.63321537562695,98.71820716406658,93.09461689617171,,73.86379929905553,,,,,,,
2015-11-04 12:11:00,107.6,108.0,104.02,105.95,21907,66.69169552026858,99.0018068831228,93.34917893783168,,73.86379929905553,,,,,,,
