datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2011-12-07 12:12:00,33.5,34.25,32.63,33.26,201,,,,,,,,,,,,
2011-12-08 12:12:00,33.63,36.25,32.63,35.91,298,,,,,,,,,,,,
2011-12-09 12:12:00,35.91,35.91,31.28,32.59,523,,,,,,,,,,,,
2011-12-12 12:12:00,32.75,32.75,29.38,31.57,425,,,,,,,,,,,,
2011-12-13 12:12:00,29.98,29.98,28.76,29.49,61,,,,,,,,,,,,
2011-12-14 12:12:00,29.62,29.62,28.13,29.62,228,,,,,,,,,,,,
2011-12-15 12:12:00,28.14,28.14,27.5,28.07,925,,,,,,,,,,,,
2011-12-16 12:12:00,29.88,29.88,26.68,27.18,155,,,,,,,,,,,,
2011-12-19 12:12:00,29.62,29.62,24.5,25.47,330,,,,,,,,,,,,
2011-12-20 12:12:00,25.51,26.25,24.5,25.7,254,,,,,,,,,,,,
2011-12-21 12:12:00,25.0,26.25,22.64,25.0,165,,,,,,,,,,,,
2011-12-22 12:12:00,26.24,27.29,23.75,26.0,763,,,,,,,,,,,,
2011-12-23 12:12:00,27.09,28.63,26.13,26.44,158,,,,,,,,,,,,
2011-12-26 12:12:00,27.88,28.0,26.38,27.86,76,39.13168364227605,,,,,,,,,,,
2011-12-27 12:12:00,27.13,27.5,26.9,27.0,222,35.8975252763762,,,,,,,,,,,
2011-12-28 12:12:00,24.38,24.83,24.38,24.83,23,29.314058300066392,,,,,,,,,,,
2011-12-29 12:12:00,24.96,26.88,24.88,25.31,68,32.27288098852297,,,,,,,,,,,
2011-12-30 12:12:00,26.46,28.63,25.75,27.22,308,42.57373588160563,,,,,,,,,,,
2012-01-02 12:01:00,27.75,27.75,26.38,26.38,5,39.71302333566371,,,,,,,,,,,
2012-01-03 12:01:00,26.58,28.63,26.38,28.63,200,49.501193078776815,,,,,,,,,,,
2012-01-04 12:01:00,27.5,27.5,26.0,27.25,497,44.706808111968996,,,,,,,,,,,
2012-01-05 12:01:00,27.24,27.25,26.38,27.25,302,44.70680811196899,,,,,,,,,,,
2012-01-06 12:01:00,26.25,27.25,26.0,26.37,35,41.71854173496368,,,,,,,,,,,
2012-01-07 12:01:00,26.87,27.5,26.86,27.0,220,44.574787489308044,,,,,,,,,,,
2012-01-09 12:01:00,27.46,27.74,26.84,27.11,167,45.08087496599056,,,,,,,,,,,
2012-01-10 12:01:00,27.46,31.68,27.46,28.59,492,51.49788364222977,,,,,,,,,,,
2012-01-11 12:01:00,29.88,30.0,29.38,30.0,151,56.68994517865905,,,,,,,,,,,
2012-01-12 12:01:00,31.24,31.24,29.63,29.63,77,55.025347701013686,,,,,,,,,,,
2012-01-13 12:01:00,29.38,30.64,28.88,29.43,115,54.100610527187946,,,,,,,,,,,
2012-01-16 12:01:00,30.0,31.24,30.0,30.27,163,57.34310146169316,,,,,,,,,,,
2012-01-17 12:01:00,30.19,30.5,29.5,29.84,200,55.19361576061196,,,,,,,,,,,
2012-01-18 12:01:00,30.0,30.0,30.0,30.0,30,55.85667846498142,,,,,,,,,,,
2012-01-19 12:01:00,29.38,29.88,28.14,28.14,178,47.12591635950242,,,,,,,,,,,
2012-01-20 12:01:00,29.88,30.63,29.88,30.0,17,54.74388230135014,,,,,,,,,,,
2012-01-23 12:01:00,30.63,33.13,30.0,31.38,138,59.415884937567306,,,,,,,,,,,
2012-01-24 12:01:00,30.38,31.18,30.27,31.12,56,58.196882841597414,,,,,,,,,,,
2012-01-25 12:01:00,30.78,32.99,30.78,32.31,542,62.03600624829349,,,,,,,,,,,
2012-01-27 12:01:00,33.75,35.25,32.5,33.75,762,66.09390656082215,,,,,,,,,,,
2012-01-30 12:01:00,33.88,34.94,31.88,32.04,653,58.14576053294279,,,,,,,,,,,
2012-01-31 12:01:00,31.89,32.04,29.19,30.57,555,52.32090002659566,,,,,,,,,,,
2012-02-01 12:02:00,31.66,32.86,30.5,32.46,429,58.12871669111621,,,,,,,,,,,
2012-02-02 12:02:00,32.5,33.76,31.88,33.75,255,61.569617448862786,,,,,,,,,,,
2012-02-03 12:02:00,32.63,33.74,31.88,32.11,276,55.3429328648027,,,,,,,,,,,
2012-02-07 12:02:00,32.0,34.38,31.51,33.7,1523,59.607980967375376,,,,,,,,,,,
2012-02-08 12:02:00,33.75,35.62,30.66,33.26,1689,57.958338239186844,,,,,,,,,,,
2012-02-09 12:02:00,34.37,35.0,34.36,34.74,3288,61.78895033364185,,,,,,,,,,,
2012-02-13 12:02:00,34.99,35.0,34.38,34.38,670,60.34855843238808,,,,,,,,,,,
2012-02-14 12:02:00,34.38,35.25,34.38,35.13,441,62.31931114503399,,,,,,,,,,,
2012-02-15 12:02:00,36.13,36.89,35.63,35.63,1670,63.61756129816946,,,,,,,,,,,
2012-02-16 12:02:00,35.38,38.98,32.31,36.16,844,64.99435289839371,31.4640800580234,,,,,,,,,,
2012-02-17 12:02:00,33.78,35.59,33.78,34.63,311,58.1529044832952,31.58823378123817,,,,,,,,,,
2012-02-21 12:02:00,37.36,37.36,33.13,33.63,311,54.14150418484926,31.66830304471903,,,,,,,,,,
2012-02-22 12:02:00,34.59,34.59,32.49,33.74,11169,54.513199723298776,31.749546062573184,,,,,,,,,,
2012-02-23 12:02:00,33.75,34.99,30.88,33.16,620,52.11465721342969,31.804857981687963,,,,,,,,,,
2012-02-27 12:02:00,32.49,32.88,32.38,32.69,73,50.18759097268706,31.839569433386476,,,,,,,,,,
2012-02-28 12:02:00,32.89,32.89,32.49,32.5,281,49.392461495271576,31.865468671292888,,,,,,,,,,
2012-03-01 12:03:00,32.38,32.5,32.12,32.38,24,48.865887241153075,31.885646370457874,,,,,,,,,,
2012-03-02 12:03:00,31.88,33.13,31.25,32.66,1542,50.19999169831083,31.916013179459526,,,,,,,,,,
2012-03-05 12:03:00,32.0,32.88,32.0,32.88,70,51.27565039743828,31.953816584186605,,,,,,,,,,
2012-03-06 12:03:00,35.13,35.63,30.25,31.64,1246,45.33223726502407,31.941510051473408,,,,,,,,,,
2012-03-07 12:03:00,31.25,32.48,31.0,31.25,432,43.619719006548664,31.91439201023916,,,,,,,,,,
