datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2019-04-11 12:04:00,19.0,19.8,18.65,19.05,89144982,,,,,,,,,,,,
2019-04-12 12:04:00,19.3,19.9,19.2,19.75,29799546,,,,,,,,,,,,
2019-04-15 12:04:00,20.0,23.7,19.9,23.65,80684771,,,,,,,,,,,,
2019-04-16 12:04:00,24.5,26.95,24.2,25.6,98193853,,,,,,,,,,,,
2019-04-18 12:04:00,26.35,26.85,25.15,26.15,49134384,,,,,,,,,,,,
2019-04-22 12:04:00,26.25,26.4,24.3,24.6,27638075,,,,,,,,,,,,
2019-04-23 12:04:00,24.5,24.65,23.0,23.25,23479783,,,,,,,,,,,,
2019-04-24 12:04:00,23.45,24.2,23.35,23.7,10435909,,,,,,,,,,,,
2019-04-25 12:04:00,23.95,24.15,23.2,23.5,9656994,,,,,,,,,,,,
2019-04-26 12:04:00,23.5,23.65,22.95,23.05,7087998,,,,,,,,,,,,
2019-04-30 12:04:00,23.05,23.05,21.2,22.05,12865523,,,,,,,,,,,,
2019-05-02 12:05:00,22.05,24.45,22.05,23.9,21855261,,,,,,,,,,,,
2019-05-03 12:05:00,24.2,24.35,23.1,23.15,7641982,,,,,,,,,,,,
2019-05-06 12:05:00,22.75,23.1,22.2,22.7,4701329,55.598272649966844,,,,,,,,,,,
2019-05-07 12:05:00,23.2,23.55,22.7,22.8,4706773,56.112620239316776,,,,,,,,,,,
2019-05-08 12:05:00,22.7,23.0,22.5,22.6,4409931,54.74668733295247,,,,,,,,,,,
2019-05-09 12:05:00,22.5,23.2,22.5,22.8,5263687,55.90270754356156,,,,,,,,,,,
2019-05-10 12:05:00,23.0,23.1,22.6,22.7,3917012,55.14418333207024,,,,,,,,,,,
2019-05-13 12:05:00,22.8,22.9,21.85,22.0,6530467,50.02707683593041,,,,,,,,,,,
2019-05-14 12:05:00,21.3,22.0,21.3,21.85,4430457,48.978244984442874,,,,,,,,,,,
2019-05-15 12:05:00,21.9,22.4,21.75,21.85,2788664,48.978244984442874,,,,,,,,,,,
2019-05-16 12:05:00,22.0,22.05,21.5,21.75,2618948,48.19697944291347,,,,,,,,,,,
2019-05-17 12:05:00,21.7,22.4,21.45,22.1,4058030,51.13494417129469,,,,,,,,,,,
2019-05-20 12:05:00,24.2,24.5,22.8,23.9,10019136,62.815071740017714,,,,,,,,,,,
2019-05-21 12:05:00,24.0,24.1,23.1,23.35,3911699,58.23464944345512,,,,,,,,,,,
