datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,31.2,31.28,28.28,28.51,2470,,,,,,,,,,,,
2008-07-18 12:07:00,28.1,29.4,28.0,28.13,305921,,,,,,,,,,,,
2008-07-21 12:07:00,28.23,28.7,27.5,27.74,3748,,,,,,,,,,,,
2008-07-22 12:07:00,28.0,30.5,26.8,30.22,16025,,,,,,,,,,,,
2008-07-23 12:07:00,30.7,31.0,28.71,30.55,14265,,,,,,,,,,,,
2008-07-24 12:07:00,30.85,32.38,30.32,31.99,14266,,,,,,,,,,,,
2008-07-28 12:07:00,31.9,32.7,30.5,30.62,11040,,,,,,,,,,,,
2008-07-29 12:07:00,30.62,31.3,30.06,30.42,2000,,,,,,,,,,,,
2008-07-30 12:07:00,30.9,31.19,30.22,30.55,969,,,,,,,,,,,,
2008-07-31 12:07:00,30.5,31.15,30.2,30.93,26005,,,,,,,,,,,,
2008-08-01 12:08:00,30.97,31.6,30.56,31.02,14087,,,,,,,,,,,,
2008-08-04 12:08:00,30.8,31.58,30.8,30.83,2121,,,,,,,,,,,,
2008-08-05 12:08:00,30.76,31.2,30.32,30.61,1419,,,,,,,,,,,,
2008-08-06 12:08:00,31.0,31.5,30.4,30.53,2897,60.09957967484604,,,,,,,,,,,
2008-08-07 12:08:00,30.25,31.69,29.8,31.25,9225,66.18069302652047,,,,,,,,,,,
2008-08-08 12:08:00,30.51,31.47,30.51,31.26,4770,66.2576120265449,,,,,,,,,,,
2008-08-11 12:08:00,31.2,31.6,30.9,31.2,5455,65.29798027754674,,,,,,,,,,,
2008-08-12 12:08:00,30.7,31.27,30.6,30.64,820,57.000120989518756,,,,,,,,,,,
2008-08-13 12:08:00,30.02,30.88,30.02,30.64,1553,57.000120989518756,,,,,,,,,,,
2008-08-14 12:08:00,30.0,30.44,29.32,29.57,2099,44.475777186297194,,,,,,,,,,,
2008-08-18 12:08:00,30.07,30.2,29.73,30.02,1302,49.50121130228323,,,,,,,,,,,
2008-08-19 12:08:00,30.5,31.1,29.62,30.21,1215,51.49731300286259,,,,,,,,,,,
2008-08-20 12:08:00,30.1,30.47,30.0,30.0,2099,49.183279895903134,,,,,,,,,,,
2008-08-21 12:08:00,29.71,30.0,29.0,29.45,642,43.65096461266478,,,,,,,,,,,
2008-08-25 12:08:00,29.6,29.6,29.3,29.47,647,43.89809096804949,,,,,,,,,,,
2008-08-26 12:08:00,29.38,29.38,28.51,28.8,3384,37.90133261464501,,,,,,,,,,,
2008-08-27 12:08:00,29.1,29.5,28.51,28.91,1797,39.365837628508785,,,,,,,,,,,
2008-08-28 12:08:00,28.62,29.28,28.5,28.7,5989,37.54539677335832,,,,,,,,,,,
2008-08-29 12:08:00,26.4,29.8,26.4,28.87,1388,39.965705668298504,,,,,,,,,,,
2008-09-01 12:09:00,29.0,29.77,28.3,29.41,3024,46.99272779071717,,,,,,,,,,,
2008-09-02 12:09:00,29.1,29.79,29.1,29.49,1694,47.9644738133536,,,,,,,,,,,
2008-09-04 12:09:00,29.68,29.68,27.8,28.45,4486,38.168449221687595,,,,,,,,,,,
2008-09-05 12:09:00,29.9,29.9,27.55,28.68,4774,41.03653640631448,,,,,,,,,,,
2008-09-08 12:09:00,29.0,29.27,28.0,28.92,2398,43.957766297235025,,,,,,,,,,,
2008-09-09 12:09:00,28.62,29.0,28.0,28.45,408,39.799332107915696,,,,,,,,,,,
2008-09-10 12:09:00,28.34,28.84,28.34,28.5,446,40.44479425187002,,,,,,,,,,,
2008-09-11 12:09:00,28.97,29.0,28.01,28.84,1167,44.78046049698582,,,,,,,,,,,
2008-09-12 12:09:00,28.56,28.6,28.13,28.35,661,40.23439737868519,,,,,,,,,,,
2008-09-15 12:09:00,25.23,27.99,25.23,26.14,1872,26.947035205284138,,,,,,,,,,,
2008-09-18 12:09:00,25.4,26.5,24.1,26.35,1275,29.335156481165953,,,,,,,,,,,
2008-09-19 12:09:00,27.6,27.6,26.0,26.51,2358,31.18107193896431,,,,,,,,,,,
2008-09-22 12:09:00,26.7,27.1,25.35,25.55,1646,26.678100050295242,,,,,,,,,,,
2008-09-23 12:09:00,25.56,25.56,24.1,24.31,34800,22.215401971528507,,,,,,,,,,,
2008-09-24 12:09:00,28.8,28.8,22.75,25.21,16875,31.209847368851953,,,,,,,,,,,
2008-09-25 12:09:00,24.73,25.4,24.01,24.34,30577,27.856567471084688,,,,,,,,,,,
2008-09-26 12:09:00,25.25,25.25,23.0,23.21,1800,24.21705389874063,,,,,,,,,,,
2008-09-29 12:09:00,23.21,23.21,21.1,22.01,9980,21.068968518641796,,,,,,,,,,,
2008-09-30 12:09:00,21.3,23.59,21.3,23.03,16340,29.462571553172992,,,,,,,,,,,
2008-10-01 12:10:00,23.4,27.59,22.13,23.64,2799,33.98388832172286,,,,,,,,,,,
2008-10-06 12:10:00,21.0,23.5,21.0,21.45,11629,27.23450913588877,27.31026446844317,,,,,,,,,,
2008-10-07 12:10:00,21.51,22.4,19.8,21.68,4655,28.83309959109127,27.089469783406184,,,,,,,,,,
2008-10-08 12:10:00,20.6,20.78,19.5,20.03,3190,24.64941314750989,26.812627831115744,,,,,,,,,,
2008-10-10 12:10:00,19.3,20.0,17.6,19.72,3458,23.94638896932277,26.534485563228852,,,,,,,,,,
