datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,248.65,249.43,240.11,246.37,3088057,,,,,,,,,,,,
2008-07-18 12:07:00,243.02,259.08,243.02,257.46,3849669,,,,,,,,,,,,
2008-07-21 12:07:00,261.66,263.44,255.1,262.11,2975966,,,,,,,,,,,,
2008-07-22 12:07:00,258.84,267.52,258.84,262.03,2853219,,,,,,,,,,,,
2008-07-23 12:07:00,264.12,276.89,264.12,275.52,5049840,,,,,,,,,,,,
2008-07-24 12:07:00,274.65,282.87,274.65,280.29,3331358,,,,,,,,,,,,
2008-07-28 12:07:00,261.78,266.34,256.62,265.28,3383436,,,,,,,,,,,,
2008-07-29 12:07:00,260.58,262.82,252.98,253.93,3553556,,,,,,,,,,,,
2008-07-30 12:07:00,260.37,264.59,255.92,263.59,2096377,,,,,,,,,,,,
2008-07-31 12:07:00,269.37,269.98,262.39,268.51,3253164,,,,,,,,,,,,
2008-08-01 12:08:00,264.12,280.88,262.13,279.07,3774513,,,,,,,,,,,,
2008-08-04 12:08:00,285.19,285.19,271.45,272.6,4096186,,,,,,,,,,,,
2008-08-05 12:08:00,274.27,277.71,268.22,276.54,4797583,,,,,,,,,,,,
2008-08-06 12:08:00,278.18,285.09,277.72,279.19,4163954,65.40436794326453,,,,,,,,,,,
2008-08-07 12:08:00,279.12,281.33,274.69,276.14,2806584,62.16794224873108,,,,,,,,,,,
2008-08-08 12:08:00,273.46,277.48,271.27,273.7,3303349,59.62598004846313,,,,,,,,,,,
2008-08-11 12:08:00,273.63,283.57,273.63,282.31,2927085,65.05569479227309,,,,,,,,,,,
2008-08-12 12:08:00,284.04,288.08,281.12,284.89,3758158,66.50915249031611,,,,,,,,,,,
2008-08-13 12:08:00,282.84,288.26,280.21,283.67,3252519,65.1296280701151,,,,,,,,,,,
2008-08-14 12:08:00,283.57,284.63,274.82,276.62,2397678,57.683757372969076,,,,,,,,,,,
2008-08-18 12:08:00,278.18,278.18,268.83,270.54,2513403,52.146886203164485,,,,,,,,,,,
2008-08-19 12:08:00,270.56,271.62,267.09,269.93,2077098,51.61162062884166,,,,,,,,,,,
2008-08-20 12:08:00,269.98,274.66,269.68,273.06,2273633,54.20891430558952,,,,,,,,,,,
2008-08-21 12:08:00,274.81,274.81,267.93,269.12,1954673,50.53200372412764,,,,,,,,,,,
2008-08-25 12:08:00,268.26,277.59,268.26,271.38,1391259,52.52133784980157,,,,,,,,,,,
2008-08-26 12:08:00,269.86,269.86,261.38,265.21,3475808,46.96808240726021,,,,,,,,,,,
2008-08-27 12:08:00,267.62,267.62,260.6,261.54,3693248,43.988749262065944,,,,,,,,,,,
2008-08-28 12:08:00,263.88,263.88,250.38,252.5,4800181,37.652938923410645,,,,,,,,,,,
2008-08-29 12:08:00,260.6,261.53,255.8,260.16,2517428,44.89550702738674,,,,,,,,,,,
2008-09-01 12:09:00,258.26,263.58,256.27,260.79,2288933,45.456702878619744,,,,,,,,,,,
2008-09-02 12:09:00,260.6,270.56,258.84,269.13,2521424,52.371848804967534,,,,,,,,,,,
2008-09-04 12:09:00,273.49,273.49,259.66,262.04,2663348,46.92518214606676,,,,,,,,,,,
2008-09-05 12:09:00,256.5,256.5,251.81,253.68,3225044,41.45107364763403,,,,,,,,,,,
2008-09-08 12:09:00,266.46,266.46,258.84,259.8,2868523,46.38220126479776,,,,,,,,,,,
2008-09-09 12:09:00,261.19,262.83,254.34,260.9,1970535,47.24228206836,,,,,,,,,,,
2008-09-10 12:09:00,259.42,259.98,252.63,253.88,3817866,42.55121784052427,,,,,,,,,,,
2008-09-11 12:09:00,252.4,252.4,242.12,243.89,5691958,36.93109559841616,,,,,,,,,,,
2008-09-12 12:09:00,247.59,248.88,234.79,236.3,6817991,33.32928601826977,,,,,,,,,,,
2008-09-15 12:09:00,231.27,232.48,223.48,230.95,5023992,31.031901772200982,,,,,,,,,,,
2008-09-18 12:09:00,220.99,238.1,216.66,236.96,8745924,36.34045901245721,,,,,,,,,,,
2008-09-19 12:09:00,241.97,252.63,239.51,250.65,5157010,46.451369816061494,,,,,,,,,,,
2008-09-22 12:09:00,255.91,257.09,246.11,248.78,5798887,45.390852038340434,,,,,,,,,,,
2008-09-23 12:09:00,244.2,255.49,244.2,244.95,5184886,43.214683081487145,,,,,,,,,,,
2008-09-24 12:09:00,243.03,251.81,243.03,249.6,5464106,46.56429636780535,,,,,,,,,,,
2008-09-25 12:09:00,249.01,251.19,243.38,247.21,4918882,45.092024602853655,,,,,,,,,,,
2008-09-26 12:09:00,246.3,248.3,239.06,239.88,3470456,40.82831913521191,,,,,,,,,,,
2008-09-29 12:09:00,241.27,241.85,230.25,236.33,6063788,38.90942365120839,,,,,,,,,,,
2008-09-30 12:09:00,231.29,242.44,221.39,238.26,6794615,40.54544362749559,,,,,,,,,,,
2008-10-01 12:10:00,239.51,239.86,230.54,233.26,3475963,37.72666980567487,,,,,,,,,,,
2008-10-06 12:10:00,212.44,214.78,201.14,202.2,6053146,25.75046189524312,251.3483957511918,,,,,,,,,,
2008-10-07 12:10:00,204.49,210.45,198.9,206.07,6456317,28.783954277178722,249.57277238839998,,,,,,,,,,
2008-10-08 12:10:00,200.84,205.04,186.64,203.01,7673196,27.81624953169478,247.7467813143451,,,,,,,,,,
2008-10-10 12:10:00,197.29,197.29,182.91,188.84,8394546,23.822247714747505,245.43671145888058,,,,,,,,,,
2008-10-13 12:10:00,192.4,196.62,191.48,193.97,4466997,27.860689878060697,243.4184090487284,,,,,,,,,,
2008-10-14 12:10:00,200.25,205.29,198.49,199.79,4625862,32.248946994419214,241.7074910468175,,,,,,,,,,
2008-10-15 12:10:00,196.15,197.29,186.36,187.97,5172738,28.46218897281149,239.60013845674624,,,,,,,,,,
2008-10-16 12:10:00,179.74,181.5,165.09,172.94,10250021,24.519521157858804,236.98601538001108,,,,,,,,,,
2008-10-17 12:10:00,173.88,178.57,160.62,162.87,7155727,22.291513778903507,234.0795049729518,,,,,,,,,,
2008-10-20 12:10:00,165.67,171.54,159.94,164.61,7029875,23.58361223021339,231.35521066028704,,,16.34650018357503,,,,,,,
2008-10-21 12:10:00,168.02,176.81,164.92,173.29,6723686,29.84990366182609,229.0781435755699,,,16.34650018357503,,,,,,,
2008-10-22 12:10:00,170.67,170.78,162.81,164.13,4467280,27.305239322205622,226.53115755299854,,,16.34650018357503,,,,,,,
2008-10-23 12:10:00,158.77,161.8,149.91,152.51,7147612,24.456943528919467,223.6283670607241,,,16.34650018357503,,,,,,,
2008-10-24 12:10:00,150.45,151.59,125.84,129.29,9257453,19.97331163357103,219.9288232544212,,,16.34650018357503,,,,,,,
2008-10-27 12:10:00,130.19,137.55,118.8,136.03,9895825,24.310854085755707,216.63867332287526,,,12.827633790186042,,,,,,,
2008-10-28 12:10:00,146.93,146.93,141.07,144.94,1550317,29.732902584007704,213.82696064354684,,,12.827633790186042,,,,,,,
2008-10-31 12:10:00,158.06,173.29,154.59,171.01,10466939,42.67298719115923,212.1478641477215,,,12.827633790186042,,,,,,,
