datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,28.46,28.8,27.77,28.11,188399,,,,,,,,,,,,
2008-07-18 12:07:00,29.25,29.63,27.75,29.44,250877,,,,,,,,,,,,
2008-07-21 12:07:00,29.44,30.9,28.91,30.75,225841,,,,,,,,,,,,
2008-07-22 12:07:00,30.94,33.21,30.94,32.63,671396,,,,,,,,,,,,
2008-07-23 12:07:00,33.38,35.25,33.38,34.52,483034,,,,,,,,,,,,
2008-07-24 12:07:00,35.14,35.14,33.23,33.51,234432,,,,,,,,,,,,
2008-07-28 12:07:00,33.58,34.97,33.02,34.69,695745,,,,,,,,,,,,
2008-07-29 12:07:00,34.13,35.44,33.0,33.23,750618,,,,,,,,,,,,
2008-07-30 12:07:00,33.71,34.54,33.19,33.96,370834,,,,,,,,,,,,
2008-07-31 12:07:00,34.16,34.16,32.49,32.91,929164,,,,,,,,,,,,
2008-08-01 12:08:00,32.64,33.56,32.31,33.26,432100,,,,,,,,,,,,
2008-08-04 12:08:00,33.64,33.88,33.06,33.49,508742,,,,,,,,,,,,
2008-08-05 12:08:00,33.38,35.61,33.38,34.65,2019903,,,,,,,,,,,,
2008-08-06 12:08:00,35.44,36.41,34.18,34.5,946086,70.35383221744277,,,,,,,,,,,
2008-08-07 12:08:00,34.5,35.78,34.13,34.86,626206,71.6954492214264,,,,,,,,,,,
2008-08-08 12:08:00,34.84,35.21,34.33,34.63,532990,69.5305113687051,,,,,,,,,,,
2008-08-11 12:08:00,35.25,35.51,34.89,35.06,547641,71.27678461868094,,,,,,,,,,,
2008-08-12 12:08:00,35.29,35.96,34.65,35.34,1395582,72.38657651275113,,,,,,,,,,,
2008-08-13 12:08:00,34.89,35.59,34.54,34.69,690821,66.0103928304033,,,,,,,,,,,
2008-08-14 12:08:00,35.14,35.63,33.94,34.31,769984,62.5419909887386,,,,,,,,,,,
2008-08-18 12:08:00,34.16,34.54,33.39,33.47,295081,55.588791404272285,,,,,,,,,,,
2008-08-19 12:08:00,33.38,33.6,33.02,33.13,371478,53.01938956620683,,,,,,,,,,,
2008-08-20 12:08:00,33.56,33.71,33.19,33.38,454269,54.67820355654326,,,,,,,,,,,
2008-08-21 12:08:00,33.49,33.54,32.21,32.34,256377,47.210372636306204,,,,,,,,,,,
2008-08-25 12:08:00,32.64,32.76,31.58,31.82,366120,43.976273338368216,,,,,,,,,,,
2008-08-26 12:08:00,31.46,31.88,31.14,31.76,190121,43.60509235118547,,,,,,,,,,,
2008-08-27 12:08:00,31.88,32.49,31.5,31.63,523256,42.76290011194817,,,,,,,,,,,
2008-08-28 12:08:00,31.54,31.88,30.71,30.79,674541,37.6965392197226,,,,,,,,,,,
2008-08-29 12:08:00,31.13,32.81,31.13,32.68,1462687,51.59300337316662,,,,,,,,,,,
2008-09-01 12:09:00,32.23,34.31,31.93,34.13,1441382,59.12544916710449,,,,,,,,,,,
2008-09-02 12:09:00,34.13,34.69,33.6,34.33,467487,60.048878215645566,,,,,,,,,,,
2008-09-04 12:09:00,35.59,35.59,33.45,33.54,267907,54.78402514181659,,,,,,,,,,,
2008-09-05 12:09:00,33.34,34.35,32.63,34.11,349333,57.66794480795496,,,,,,,,,,,
2008-09-08 12:09:00,34.31,35.4,33.84,34.93,943901,61.47474802703865,,,,,,,,,,,
2008-09-09 12:09:00,35.06,35.06,34.16,34.31,211447,57.28044343347088,,,,,,,,,,,
2008-09-10 12:09:00,33.75,34.48,33.47,33.6,135420,52.834800072558764,,,,,,,,,,,
2008-09-11 12:09:00,33.49,33.49,32.68,32.81,169496,48.33926190576753,,,,,,,,,,,
2008-09-12 12:09:00,33.0,33.47,31.95,32.31,141992,45.689507090889585,,,,,,,,,,,
2008-09-15 12:09:00,31.54,32.06,30.3,31.67,527617,42.47968050497893,,,,,,,,,,,
2008-09-18 12:09:00,29.63,29.63,25.16,29.42,660615,33.55472583144787,,,,,,,,,,,
2008-09-19 12:09:00,31.13,31.41,29.68,30.94,533119,42.36442645053954,,,,,,,,,,,
2008-09-22 12:09:00,30.75,31.46,30.04,30.36,282820,40.17551786459878,,,,,,,,,,,
2008-09-23 12:09:00,29.89,32.18,29.89,30.75,933283,42.33313284516451,,,,,,,,,,,
2008-09-24 12:09:00,30.79,31.31,30.77,30.88,125777,43.07018496964701,,,,,,,,,,,
2008-09-25 12:09:00,30.75,30.98,30.0,30.53,630639,41.53112714446756,,,,,,,,,,,
2008-09-26 12:09:00,30.64,30.64,30.0,30.06,145979,39.490403177024525,,,,,,,,,,,
2008-09-29 12:09:00,30.0,30.17,28.13,29.4,269995,36.758887676504806,,,,,,,,,,,
2008-09-30 12:09:00,28.22,30.83,27.53,30.47,447996,43.573200197672385,,,,,,,,,,,
2008-10-01 12:10:00,30.75,30.94,28.95,30.47,376414,43.573200197672385,,,,,,,,,,,
2008-10-06 12:10:00,30.75,31.31,28.88,29.27,473029,38.21711710675671,31.474423415003027,,,,,,,,,,
2008-10-07 12:10:00,29.53,30.19,28.93,29.21,153941,37.965826994498656,31.385622496767613,,,,,,,,,,
2008-10-08 12:10:00,28.09,28.13,25.13,26.21,724319,28.03859092740396,31.18265690865908,,,,,,,,,,
2008-10-10 12:10:00,25.5,26.63,23.63,24.39,394803,23.94756958202092,30.916278206358726,,,,,,,,,,
2008-10-13 12:10:00,25.09,26.93,24.38,26.53,357969,35.80761014377201,30.74426729630544,,,,,,,,,,
2008-10-14 12:10:00,27.75,27.83,25.59,25.91,341217,34.1461956280439,30.554688186646406,,,,,,,,,,
2008-10-15 12:10:00,25.88,26.25,25.13,25.31,213779,32.571195450882996,30.349014140111255,,,,,,,,,,
