datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2024-11-12 12:11:00,31.06,32.87,28.95,29.32,270448925,,,,,,,,,,,,
2024-11-13 12:11:00,29.29,29.29,27.02,28.58,26357328,,,,,,,,,,,,
2024-11-14 12:11:00,28.01,29.8,27.8,28.51,20806989,,,,,,,,,,,,
2024-11-18 12:11:00,28.9,30.1,28.26,29.53,17665144,,,,,,,,,,,,
2024-11-19 12:11:00,29.99,30.1,28.7,29.25,12537333,,,,,,,,,,,,
2024-11-21 12:11:00,29.07,29.15,27.85,28.26,15111152,,,,,,,,,,,,
2024-11-22 12:11:00,28.16,28.9,27.76,28.02,7280226,,,,,,,,,,,,
2024-11-25 12:11:00,28.74,29.0,28.12,28.68,7629162,,,,,,,,,,,,
2024-11-26 12:11:00,30.3,31.54,29.9,31.54,66359636,,,,,,,,,,,,
2024-11-27 12:11:00,34.0,34.69,32.33,34.49,103883169,,,,,,,,,,,,
2024-11-28 12:11:00,34.5,36.14,33.54,34.87,72672440,,,,,,,,,,,,
2024-11-29 12:11:00,35.0,37.77,34.91,37.02,49755966,,,,,,,,,,,,
2024-12-02 12:12:00,37.3,37.75,36.15,36.61,27803725,,,,,,,,,,,,
2024-12-03 12:12:00,36.7,36.8,34.9,35.65,22831502,74.2462728640321,,,,,,,,,,,
2024-12-04 12:12:00,35.7,36.3,35.49,35.92,10380833,74.99247706441378,,,,,,,,,,,
2024-12-05 12:12:00,36.27,37.71,36.1,37.71,13708920,79.27897635243824,,,,,,,,,,,
2024-12-06 12:12:00,39.59,39.59,38.47,39.44,63412532,82.41605957035124,,,,,,,,,,,
2024-12-09 12:12:00,39.49,41.41,38.8,41.41,26238430,85.16949865087642,,,,,,,,,,,
2024-12-10 12:12:00,43.48,43.48,41.56,42.26,68989556,86.17538668945086,,,,,,,,,,,
