datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,395.3,403.9,386.57,389.4,273197,,,,,,,,,,,,
2008-07-18 12:07:00,395.26,403.28,391.89,399.2,275062,,,,,,,,,,,,
2008-07-21 12:07:00,400.62,402.4,394.42,398.27,141961,,,,,,,,,,,,
2008-07-22 12:07:00,398.05,404.17,392.2,393.48,256200,,,,,,,,,,,,
2008-07-23 12:07:00,403.19,417.12,400.84,413.04,376710,,,,,,,,,,,,
2008-07-24 12:07:00,418.36,430.77,418.36,421.42,706527,,,,,,,,,,,,
2008-07-28 12:07:00,420.58,426.25,411.71,412.99,284079,,,,,,,,,,,,
2008-07-29 12:07:00,412.15,416.5,399.91,403.15,189678,,,,,,,,,,,,
2008-07-30 12:07:00,405.94,409.4,404.17,407.32,183545,,,,,,,,,,,,
2008-07-31 12:07:00,408.6,415.7,406.92,412.55,237619,,,,,,,,,,,,
2008-08-01 12:08:00,408.6,423.68,406.39,417.07,215138,,,,,,,,,,,,
2008-08-04 12:08:00,416.58,435.21,415.92,426.16,364167,,,,,,,,,,,,
2008-08-05 12:08:00,428.11,448.33,425.45,443.77,570187,,,,,,,,,,,,
2008-08-06 12:08:00,447.62,458.26,444.16,447.09,521481,80.14523814597523,,,,,,,,,,,
2008-08-07 12:08:00,435.21,449.93,426.21,437.03,232082,69.4848076264479,,,,,,,,,,,
2008-08-08 12:08:00,438.75,441.42,435.34,439.77,131523,70.63065950227553,,,,,,,,,,,
2008-08-11 12:08:00,448.51,451.17,442.39,444.83,114439,72.67151633847509,,,,,,,,,,,
2008-08-12 12:08:00,446.74,448.95,437.96,439.42,185288,67.28775480416782,,,,,,,,,,,
2008-08-13 12:08:00,436.98,443.77,435.38,441.06,165275,68.06023017489797,,,,,,,,,,,
2008-08-14 12:08:00,439.64,441.42,430.77,433.48,106657,60.90184918536872,,,,,,,,,,,
2008-08-18 12:08:00,434.32,435.21,428.11,430.02,46311,57.90785829204515,,,,,,,,,,,
2008-08-19 12:08:00,429.0,432.55,424.65,428.65,73341,56.71887230869917,,,,,,,,,,,
2008-08-20 12:08:00,433.43,435.92,430.77,434.05,51178,60.18866736005975,,,,,,,,,,,
2008-08-21 12:08:00,432.55,432.99,420.04,421.86,55397,50.37152698298609,,,,,,,,,,,
2008-08-25 12:08:00,427.14,429.71,423.9,424.79,38082,52.38196346010892,,,,,,,,,,,
2008-08-26 12:08:00,419.38,430.06,419.25,423.24,38646,51.20033483075873,,,,,,,,,,,
2008-08-27 12:08:00,426.34,427.67,422.35,423.72,51246,51.56471548336226,,,,,,,,,,,
2008-08-28 12:08:00,423.5,423.5,412.15,414.06,113332,44.38232391441821,,,,,,,,,,,
2008-08-29 12:08:00,421.77,423.68,418.54,422.57,40742,50.87410736243425,,,,,,,,,,,
2008-09-01 12:09:00,408.69,424.57,408.69,422.13,38380,50.545602078392925,,,,,,,,,,,
2008-09-02 12:09:00,430.68,437.51,423.95,435.74,90985,59.300063299878694,,,,,,,,,,,
2008-09-04 12:09:00,438.75,439.6,429.89,433.74,68369,57.68407941951873,,,,,,,,,,,
2008-09-05 12:09:00,427.23,437.78,424.34,431.88,55538,56.15154165984004,,,,,,,,,,,
2008-09-08 12:09:00,439.64,441.19,434.32,435.34,58433,58.36737382594016,,,,,,,,,,,
2008-09-09 12:09:00,435.21,436.45,431.22,434.63,30508,57.722764492417745,,,,,,,,,,,
2008-09-10 12:09:00,432.99,437.82,427.23,431.17,37136,54.56043792068362,,,,,,,,,,,
2008-09-11 12:09:00,427.85,430.77,427.18,429.53,32395,53.07617231818598,,,,,,,,,,,
2008-09-12 12:09:00,432.95,432.95,415.96,418.76,64408,44.51229725843347,,,,,,,,,,,
2008-09-15 12:09:00,406.48,406.83,397.08,400.8,68133,34.51194183687355,,,,,,,,,,,
2008-09-18 12:09:00,379.21,384.66,366.92,379.47,150184,26.808605538294074,,,,,,,,,,,
2008-09-19 12:09:00,386.43,395.3,374.02,376.68,248356,25.991389300241252,,,,,,,,,,,
2008-09-22 12:09:00,381.87,382.0,361.6,365.42,331237,22.950665850005137,,,,,,,,,,,
2008-09-23 12:09:00,364.26,366.84,355.44,360.76,294775,21.81329794176162,,,,,,,,,,,
2008-09-24 12:09:00,362.14,366.92,358.15,362.53,164592,23.366739842400662,,,,,,,,,,,
2008-09-25 12:09:00,362.53,364.18,356.28,357.7,123720,22.077677130771463,,,,,,,,,,,
2008-09-26 12:09:00,355.4,361.16,354.51,355.71,151058,21.550183139551194,,,,,,,,,,,
2008-09-29 12:09:00,357.83,357.83,332.38,339.26,141000,17.770457640186635,,,,,,,,,,,
2008-09-30 12:09:00,335.0,346.53,321.83,338.41,159363,17.598695485798046,,,,,,,,,,,
2008-10-01 12:10:00,341.21,345.64,336.77,337.48,120480,17.400524571178238,,,,,,,,,,,
2008-10-06 12:10:00,323.47,327.06,313.81,316.11,113087,13.608467161136417,394.1953457470038,,,,,,,,,,
2008-10-07 12:10:00,323.03,323.03,295.98,297.84,299878,11.334284339733841,390.4167047373174,,,,,,,,,,
2008-10-08 12:10:00,289.91,293.32,284.45,288.8,401436,10.407503009093759,386.43173592408925,,,,,,,,,,
2008-10-10 12:10:00,282.68,297.49,279.13,294.12,344467,14.821587096784882,382.8116678486348,,,,,,,,,,
2008-10-13 12:10:00,302.19,307.51,295.09,306.05,166277,23.878678960863226,379.8014063643746,,,,,,,,,,
2008-10-14 12:10:00,315.49,319.04,304.85,306.58,188490,24.263963791149195,376.92997866381086,,,,,,,,,,
2008-10-15 12:10:00,303.08,314.6,297.89,300.24,75195,22.77870319034608,373.922528520132,,,,,,,,,,
2008-10-16 12:10:00,296.87,309.28,288.09,305.16,115762,26.536827317073943,371.22595877424453,,,,,,,,,,
2008-10-17 12:10:00,308.26,312.83,296.87,298.07,102505,24.673334624023724,368.35709764584277,,,,,,,,,,
2008-10-20 12:10:00,299.53,305.65,291.55,293.59,121791,23.548080360280252,365.42505460090774,,,19.54483529347361,,,,,,,
2008-10-21 12:10:00,293.32,300.42,292.48,298.07,108421,27.127174413185358,362.7836799106761,,,19.54483529347361,,,,,,,
2008-10-22 12:10:00,294.12,296.78,291.81,293.37,55556,25.764443791344092,360.0615748161398,,,19.54483529347361,,,,,,,
2008-10-23 12:10:00,288.71,296.16,288.44,292.48,86686,25.50318154900846,357.4113169802128,,,19.54483529347361,,,,,,,
2008-10-24 12:10:00,292.43,295.98,276.47,281.79,192861,22.545880957023613,354.4457751378515,,,19.54483529347361,,,,,,,
2008-10-27 12:10:00,282.68,288.89,275.63,281.66,152524,22.51169406532017,351.59143101479856,,,17.558520207894517,,,,,,,
2008-10-28 12:10:00,288.89,293.32,286.36,290.39,22671,30.169321664816607,349.1913748965712,,,17.558520207894517,,,,,,,
2008-10-31 12:10:00,286.36,290.66,282.68,286.4,127271,28.76992713122094,346.7289680378821,,,17.558520207894517,,,,,,,
2008-11-03 12:11:00,288.67,295.09,286.05,288.84,165376,30.881332392215185,344.4588124285534,,,20.036728955768368,,,,,,,
2008-11-04 12:11:00,287.78,295.01,286.32,292.88,401398,34.35118725261732,342.4361139019435,,,20.036728955768368,,,,,,,
2008-11-05 12:11:00,301.3,303.12,282.68,285.69,672083,31.336142938225848,340.2107761018673,,,20.036728955768368,,,,,,,
2008-11-06 12:11:00,282.77,285.07,279.04,279.89,369186,29.116064080658262,337.84525547042153,,,20.036728955768368,,,,,,,
2008-11-07 12:11:00,277.71,288.0,277.71,280.99,162868,30.127133090834874,335.6156376088364,,,20.036728955768368,,,,,,,
2008-11-10 12:11:00,283.57,289.24,282.68,286.63,493254,35.22851601864127,333.6946322124114,,,19.303386812362078,,,,,,,
2008-11-11 12:11:00,284.36,288.8,278.25,278.95,229142,31.821552203781792,331.5477838903561,,,19.303386812362078,,,,,,,
2008-11-12 12:11:00,280.37,280.37,275.58,276.52,253238,30.806371267194933,329.3898315809304,,,19.303386812362078,,,,,,,
2008-11-14 12:11:00,279.93,281.88,275.67,276.07,125145,30.611611516230283,327.2988577934429,,,19.303386812362078,,,,,,,
2008-11-17 12:11:00,276.07,276.07,266.72,268.22,346885,27.361887066605945,324.98203984075883,,,18.635395290278822,,,,,,,
2008-11-18 12:11:00,268.49,270.71,263.79,268.58,292885,27.740740631330482,322.77019514112123,,,18.635395290278822,,,,,,,
2008-11-19 12:11:00,268.49,268.93,265.21,266.63,173306,26.921662200735724,320.56861886107725,,,18.635395290278822,,,,,,,
2008-11-20 12:11:00,262.28,267.6,260.51,266.01,126999,26.652209575770044,318.4290651802507,,,18.635395290278822,,,,,,,
2008-11-21 12:11:00,266.72,268.45,261.66,266.05,132314,26.703180049042146,316.3749841927899,,,18.635395290278822,,,,,,,
2008-11-24 12:11:00,266.72,266.72,262.37,265.83,63950,26.593719383262126,314.3928279499354,,,17.320798271682335,,,,,,,
2008-11-25 12:11:00,267.6,267.6,263.83,264.9,78020,26.10653948457812,312.4519327362124,,,17.320798271682335,,,,,,,
2008-11-26 12:11:00,264.1,267.43,261.4,266.14,64003,28.0004671057346,310.6357785112629,,,17.320798271682335,,,,,,,
2008-11-28 12:11:00,261.4,270.62,261.4,268.93,88779,32.2105138308081,309.00025778533103,,,17.320798271682335,,,,,,,
2008-12-01 12:12:00,268.09,272.66,265.17,265.92,115112,30.161445840512386,307.3108359113965,,,19.08756317795762,,,,,,,
2008-12-02 12:12:00,262.73,268.05,260.86,265.92,39039,30.161445840512386,305.6876658756555,,,19.08756317795762,,,,,,,
2008-12-03 12:12:00,266.72,268.93,265.39,266.32,53201,30.839523684673622,304.1438358413161,,,19.08756317795762,,,,,,,
2008-12-04 12:12:00,266.72,272.92,265.52,271.77,179581,39.46376527250244,302.8742736514606,,,19.08756317795762,,,,,,,
2008-12-05 12:12:00,271.15,276.47,266.81,270.49,123014,38.25713684386296,301.6043021357171,,,19.08756317795762,,,,,,,
2008-12-08 12:12:00,276.47,277.36,268.49,270.04,97865,37.819336431799606,300.36648636568896,,,20.08373547259461,,,,,,,
