datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,32.4,33.1,31.17,31.7,750,,,,,,,,,,,,
2008-07-18 12:07:00,29.63,32.98,29.3,31.44,1639,,,,,,,,,,,,
2008-07-21 12:07:00,31.44,32.0,31.42,31.88,108,,,,,,,,,,,,
2008-07-22 12:07:00,32.4,32.4,31.6,31.62,329,,,,,,,,,,,,
2008-07-23 12:07:00,33.94,34.78,32.8,34.21,1752,,,,,,,,,,,,
2008-07-24 12:07:00,34.4,34.4,33.0,33.4,2611,,,,,,,,,,,,
2008-07-28 12:07:00,33.46,34.59,33.4,33.6,1493,,,,,,,,,,,,
2008-07-29 12:07:00,33.58,33.99,32.84,33.0,586,,,,,,,,,,,,
2008-07-30 12:07:00,35.28,35.28,33.6,34.2,2035,,,,,,,,,,,,
2008-07-31 12:07:00,35.56,36.6,34.2,36.01,1811,,,,,,,,,,,,
2008-08-01 12:08:00,36.0,36.74,34.6,36.56,1017,,,,,,,,,,,,
2008-08-04 12:08:00,36.38,39.6,36.38,37.09,6488,,,,,,,,,,,,
2008-08-05 12:08:00,37.2,39.8,37.2,39.25,3592,,,,,,,,,,,,
2008-08-06 12:08:00,39.58,39.7,38.9,39.11,1298,84.81571640808006,,,,,,,,,,,
2008-08-07 12:08:00,41.6,41.6,39.21,39.87,1790,86.2373521050694,,,,,,,,,,,
2008-08-08 12:08:00,41.0,41.0,38.2,38.37,1469,71.92430672491797,,,,,,,,,,,
2008-08-11 12:08:00,39.8,41.35,38.06,40.65,2602,77.92243857519063,,,,,,,,,,,
2008-08-12 12:08:00,41.74,44.2,40.61,43.36,5784,82.66341846125516,,,,,,,,,,,
2008-08-13 12:08:00,44.88,45.2,40.4,44.28,2421,83.92541994843951,,,,,,,,,,,
2008-08-14 12:08:00,42.67,44.99,42.66,42.69,696,73.91153489974633,,,,,,,,,,,
2008-08-18 12:08:00,41.08,44.8,41.08,44.8,1368,77.71210050496727,,,,,,,,,,,
2008-08-19 12:08:00,43.0,44.3,41.67,42.44,961,66.11126193555931,,,,,,,,,,,
2008-08-20 12:08:00,40.1,45.0,40.1,44.26,5894,69.84928839103489,,,,,,,,,,,
2008-08-21 12:08:00,43.0,45.0,42.7,43.17,1361,65.21010374745606,,,,,,,,,,,
2008-08-25 12:08:00,43.62,44.0,40.41,42.1,1098,60.931854969205496,,,,,,,,,,,
2008-08-26 12:08:00,42.38,43.0,40.4,41.11,1800,57.193068664853115,,,,,,,,,,,
2008-08-27 12:08:00,43.48,43.52,42.2,42.69,1483,61.27685865755757,,,,,,,,,,,
2008-08-28 12:08:00,42.99,42.99,42.0,42.15,193,59.19821856993383,,,,,,,,,,,
2008-08-29 12:08:00,42.8,44.01,42.4,43.68,6527,63.02531689604912,,,,,,,,,,,
2008-09-01 12:09:00,43.0,43.99,42.99,43.73,508,63.14697104935577,,,,,,,,,,,
2008-09-02 12:09:00,43.56,44.6,43.0,44.14,1817,64.18750346193144,,,,,,,,,,,
2008-09-04 12:09:00,43.81,45.0,43.8,44.17,540,64.26700470664079,,,,,,,,,,,
2008-09-05 12:09:00,40.05,43.05,40.0,43.05,305,59.00101211375915,,,,,,,,,,,
2008-09-08 12:09:00,43.8,43.8,43.0,43.08,507,59.09769017535286,,,,,,,,,,,
2008-09-09 12:09:00,41.43,44.2,41.43,43.05,267,58.94799475366238,,,,,,,,,,,
2008-09-10 12:09:00,43.6,43.6,40.4,41.06,1002,49.91581305328465,,,,,,,,,,,
2008-09-11 12:09:00,40.65,42.31,40.0,41.11,2528,50.12260281030329,,,,,,,,,,,
2008-09-12 12:09:00,42.86,42.9,40.0,40.03,2120,45.730497399992885,,,,,,,,,,,
2008-09-15 12:09:00,40.1,40.97,38.06,40.66,1168,48.5620477439032,,,,,,,,,,,
2008-09-18 12:09:00,38.0,39.0,38.0,38.4,149,40.41557230360244,,,,,,,,,,,
2008-09-19 12:09:00,41.96,41.96,39.0,39.5,759,45.23142435893492,,,,,,,,,,,
2008-09-22 12:09:00,40.0,40.4,39.6,39.72,1899,46.168535791471236,,,,,,,,,,,
2008-09-23 12:09:00,40.4,40.4,37.62,38.11,390,40.68253712420453,,,,,,,,,,,
2008-09-24 12:09:00,40.6,40.6,38.0,38.7,706,43.33958959756531,,,,,,,,,,,
2008-09-25 12:09:00,40.0,40.0,38.01,38.62,902,43.057950092216295,,,,,,,,,,,
2008-09-26 12:09:00,39.85,39.85,37.23,37.36,1154,38.783138565130564,,,,,,,,,,,
2008-09-29 12:09:00,35.41,38.2,35.06,35.84,1073,34.35237915528219,,,,,,,,,,,
2008-09-30 12:09:00,36.0,39.58,33.03,39.0,3556,47.72355109180696,,,,,,,,,,,
2008-10-01 12:10:00,38.55,40.88,38.0,39.37,5252,49.03256007375539,,,,,,,,,,,
2008-10-06 12:10:00,34.06,36.99,33.6,34.87,910,36.92298666261662,38.622383053636185,,,,,,,,,,
2008-10-07 12:10:00,33.4,35.56,32.4,32.99,1244,33.23055941951745,38.401505286826925,,,,,,,,,,
2008-10-08 12:10:00,28.2,32.98,28.2,31.71,1604,30.960389608062528,38.13909331479449,,,,,,,,,,
2008-10-10 12:10:00,31.0,31.8,29.4,29.74,1330,27.811313661152894,37.80971710637118,,,,,,,,,,
2008-10-13 12:10:00,29.2,31.98,29.0,30.6,597,31.10571729827545,37.526983102199765,,,,,,,,,,
2008-10-14 12:10:00,27.14,32.0,27.14,31.35,833,33.93718893185381,37.28474847074095,,,,,,,,,,
2008-10-15 12:10:00,30.6,31.0,30.6,31.0,371,33.250409167216105,37.038287746398176,,,,,,,,,,
2008-10-16 12:10:00,28.02,30.78,27.7,29.82,843,30.974550525186274,36.75521763869629,,,,,,,,,,
2008-10-17 12:10:00,31.6,31.6,28.84,28.85,204,29.204934906713035,36.44520910384546,,,,,,,,,,
2008-10-20 12:10:00,31.8,31.8,28.9,29.95,1081,33.82227036125785,36.19049502134171,,,34.45897810039753,,,,,,,
2008-10-21 12:10:00,28.6,29.4,28.01,28.72,2042,31.359338247661157,35.89753443226949,,,34.45897810039753,,,,,,,
2008-10-22 12:10:00,28.96,29.92,28.4,29.0,282,32.563220766399255,35.627042885905986,,,34.45897810039753,,,,,,,
2008-10-23 12:10:00,28.0,28.05,25.02,25.73,1994,26.67836013653411,35.23892355704693,,,34.45897810039753,,,,,,,
2008-10-24 12:10:00,27.0,27.0,23.0,24.6,2072,24.997176481727237,34.821710868535284,,,34.45897810039753,,,,,,,
2008-10-27 12:10:00,25.0,25.0,22.22,24.55,2080,24.922338672491534,34.41889867761233,,,28.52782422016189,,,,,,,
2008-10-28 12:10:00,24.0,27.0,24.0,24.88,414,26.486656179479397,34.04482421966675,,,28.52782422016189,,,,,,,
2008-10-31 12:10:00,21.0,25.0,21.0,23.56,1573,24.305146761007364,33.633654642424915,,,28.52782422016189,,,,,,,
2008-11-03 12:11:00,24.62,24.62,24.14,24.25,801,27.659223297761457,33.265668185859234,,,27.289971508164953,,,,,,,
2008-11-04 12:11:00,25.8,25.8,23.7,24.0,718,27.18913694764443,32.90230864915887,,,27.289971508164953,,,,,,,
2008-11-05 12:11:00,24.0,24.0,23.4,23.48,1015,26.192001035276093,32.53280634919185,,,27.289971508164953,,,,,,,
2008-11-06 12:11:00,22.4,23.45,22.2,23.0,230,25.270705678329648,32.15897080608629,,,27.289971508164953,,,,,,,
2008-11-07 12:11:00,22.05,23.59,20.44,21.83,2979,23.134605532275955,31.753913127416237,,,27.289971508164953,,,,,,,
2008-11-10 12:11:00,24.32,24.34,21.84,22.0,4967,24.138010418431136,31.37140673026266,,,25.3216763532364,,,,,,,
