datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,62.64,64.4,58.5,59.4,4390039,,,,,,,,,,,,
2008-07-18 12:07:00,58.77,59.71,57.12,58.12,3742381,,,,,,,,,,,,
2008-07-21 12:07:00,60.05,60.05,57.16,58.68,1998595,,,,,,,,,,,,
2008-07-22 12:07:00,60.04,61.9,57.92,60.97,4224184,,,,,,,,,,,,
2008-07-23 12:07:00,62.37,65.31,62.23,64.58,5605196,,,,,,,,,,,,
2008-07-24 12:07:00,64.79,65.66,60.45,61.42,4888752,,,,,,,,,,,,
2008-07-28 12:07:00,60.01,60.83,58.94,59.11,2273772,,,,,,,,,,,,
2008-07-29 12:07:00,59.19,59.19,56.84,57.42,2660144,,,,,,,,,,,,
2008-07-30 12:07:00,58.33,61.73,58.33,61.36,4079734,,,,,,,,,,,,
2008-07-31 12:07:00,61.26,64.17,61.26,63.51,4436633,,,,,,,,,,,,
2008-08-01 12:08:00,63.27,65.99,62.64,65.64,4272849,,,,,,,,,,,,
2008-08-04 12:08:00,65.64,67.38,64.71,66.65,3266389,,,,,,,,,,,,
2008-08-05 12:08:00,66.95,67.21,63.51,65.3,6588738,,,,,,,,,,,,
2008-08-06 12:08:00,65.94,66.34,62.36,62.72,4246797,54.08058351535841,,,,,,,,,,,
2008-08-07 12:08:00,62.72,64.44,61.87,62.6,4008058,53.70845396180385,,,,,,,,,,,
2008-08-08 12:08:00,61.78,63.59,61.78,63.28,2048828,55.573985094255846,,,,,,,,,,,
2008-08-11 12:08:00,63.59,64.42,62.39,62.62,2067263,53.32765781423285,,,,,,,,,,,
2008-08-12 12:08:00,63.24,64.34,58.59,59.44,6062076,44.082126121223205,,,,,,,,,,,
2008-08-13 12:08:00,59.18,60.9,58.76,59.66,3238937,44.795203143683146,,,,,,,,,,,
2008-08-14 12:08:00,62.87,62.87,59.45,60.18,2478298,46.53082310755147,,,,,,,,,,,
2008-08-18 12:08:00,60.22,60.57,58.67,59.0,2153065,43.2108541782912,,,,,,,,,,,
2008-08-19 12:08:00,60.4,60.4,58.09,58.59,2863019,42.08720710726076,,,,,,,,,,,
2008-08-20 12:08:00,59.02,60.14,58.93,59.25,2465383,44.585290299403056,,,,,,,,,,,
2008-08-21 12:08:00,59.43,59.88,57.21,57.69,3434125,40.17420894297585,,,,,,,,,,,
2008-08-25 12:08:00,58.84,59.15,57.03,57.48,3248159,39.60614732368836,,,,,,,,,,,
2008-08-26 12:08:00,57.38,57.38,56.2,56.84,3105700,37.84961965252541,,,,,,,,,,,
