datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,20.56,20.69,19.76,20.16,4948326,,,,,,,,,,,,
2008-07-18 12:07:00,20.29,20.87,20.07,20.74,4181022,,,,,,,,,,,,
2008-07-21 12:07:00,20.96,21.09,20.38,20.6,2612603,,,,,,,,,,,,
2008-07-22 12:07:00,20.74,21.35,20.38,21.13,4347110,,,,,,,,,,,,
2008-07-23 12:07:00,21.18,22.76,21.18,22.5,7573161,,,,,,,,,,,,
2008-07-24 12:07:00,22.5,23.38,21.97,22.41,6445756,,,,,,,,,,,,
2008-07-28 12:07:00,22.94,23.47,22.72,22.9,5599669,,,,,,,,,,,,
2008-07-29 12:07:00,22.5,22.63,21.75,21.88,5030895,,,,,,,,,,,,
2008-07-30 12:07:00,22.06,22.5,22.06,22.24,3685884,,,,,,,,,,,,
2008-07-31 12:07:00,22.41,22.54,21.79,21.93,5989498,,,,,,,,,,,,
2008-08-01 12:08:00,21.62,23.12,21.53,22.9,8552895,,,,,,,,,,,,
2008-08-04 12:08:00,22.94,24.57,22.63,24.0,14422757,,,,,,,,,,,,
2008-08-05 12:08:00,23.87,24.49,23.03,24.0,7638592,,,,,,,,,,,,
2008-08-06 12:08:00,24.04,25.19,23.74,24.31,16037152,79.09862246266243,,,,,,,,,,,
2008-08-07 12:08:00,24.49,25.72,24.18,25.06,23749081,82.12775776626313,,,,,,,,,,,
2008-08-08 12:08:00,24.93,25.5,24.57,24.84,9955158,78.53242674974311,,,,,,,,,,,
2008-08-11 12:08:00,25.24,26.21,25.24,25.81,14455103,82.22685288532762,,,,,,,,,,,
2008-08-12 12:08:00,25.59,26.29,25.06,25.37,9622109,75.85028649736148,,,,,,,,,,,
2008-08-13 12:08:00,25.37,25.76,24.75,25.28,6453452,74.57634689345204,,,,,,,,,,,
2008-08-14 12:08:00,25.24,25.41,24.31,24.4,5601424,63.36920833811628,,,,,,,,,,,
2008-08-18 12:08:00,24.4,24.79,24.04,24.31,4522839,62.33742849505113,,,,,,,,,,,
2008-08-19 12:08:00,23.91,24.22,23.43,23.87,2933520,57.41552652170484,,,,,,,,,,,
2008-08-20 12:08:00,23.82,24.49,23.82,24.26,3045823,60.400052099831896,,,,,,,,,,,
2008-08-21 12:08:00,24.18,24.26,23.29,23.43,3266656,52.0408210077963,,,,,,,,,,,
2008-08-25 12:08:00,23.38,24.09,23.03,23.12,2393650,49.296628818352474,,,,,,,,,,,
2008-08-26 12:08:00,23.07,23.21,22.76,23.12,1907200,49.296628818352474,,,,,,,,,,,
2008-08-27 12:08:00,23.29,23.29,22.63,22.72,2004068,45.69109468121038,,,,,,,,,,,
2008-08-28 12:08:00,22.76,22.94,22.01,22.1,5108309,40.719749998379946,,,,,,,,,,,
2008-08-29 12:08:00,22.06,23.47,22.06,23.38,6667264,52.26668823704876,,,,,,,,,,,
2008-09-01 12:09:00,23.74,23.74,22.72,23.29,3414499,51.5069915652629,,,,,,,,,,,
2008-09-02 12:09:00,23.38,24.0,23.29,23.82,4898717,55.59977232812278,,,,,,,,,,,
2008-09-04 12:09:00,23.82,23.82,23.16,23.38,2638484,51.698729533988946,,,,,,,,,,,
2008-09-05 12:09:00,22.94,23.16,22.68,23.03,2209044,48.767573742558625,,,,,,,,,,,
2008-09-08 12:09:00,23.43,23.91,23.21,23.25,2585499,50.66116920664063,,,,,,,,,,,
2008-09-09 12:09:00,22.94,23.65,22.59,23.43,3304497,52.21730478224191,,,,,,,,,,,
2008-09-10 12:09:00,23.82,24.53,23.34,24.13,16057629,57.79248124791532,,,,,,,,,,,
2008-09-11 12:09:00,24.09,25.1,23.29,24.79,21265253,62.26325775190699,,,,,,,,,,,
2008-09-12 12:09:00,24.97,25.06,23.56,23.87,7095589,53.72111659368436,,,,,,,,,,,
2008-09-15 12:09:00,22.85,23.38,21.62,22.19,6617430,42.30677299701879,,,,,,,,,,,
2008-09-18 12:09:00,20.29,21.44,19.54,21.26,5574563,37.55037157980539,,,,,,,,,,,
2008-09-19 12:09:00,21.97,22.32,21.44,21.66,4566444,40.64147426069772,,,,,,,,,,,
2008-09-22 12:09:00,22.06,22.1,21.22,21.31,2673278,38.8303525241256,,,,,,,,,,,
2008-09-23 12:09:00,21.13,21.18,20.65,20.87,2085891,36.6209391308998,,,,,,,,,,,
2008-09-24 12:09:00,21.62,21.62,20.78,20.96,2192742,37.40548161734661,,,,,,,,,,,
2008-09-25 12:09:00,21.18,21.18,20.34,20.47,4834683,34.87434828916702,,,,,,,,,,,
2008-09-26 12:09:00,20.29,20.82,19.81,19.9,3922391,32.14906543984789,,,,,,,,,,,
2008-09-29 12:09:00,19.9,19.9,18.75,19.1,5493959,28.75291319722318,,,,,,,,,,,
2008-09-30 12:09:00,18.09,19.68,17.65,19.19,6735096,29.65323984457784,,,,,,,,,,,
2008-10-01 12:10:00,19.41,19.76,18.88,19.19,3397726,29.65323984457784,,,,,,,,,,,
2008-10-06 12:10:00,18.44,18.44,16.99,17.21,4788570,22.42342734440848,21.761128999064095,,,,,,,,,,
2008-10-07 12:10:00,17.65,18.09,16.76,16.99,3511827,21.787788813817897,21.574025901061585,,,,,,,,,,
2008-10-08 12:10:00,16.41,16.76,15.44,16.15,4894149,19.5133167632047,21.36131900298074,,,,,,,,,,
2008-10-10 12:10:00,15.04,15.71,14.34,14.6,5406719,16.160822756996893,21.096169238157966,,,,,,,,,,
2008-10-13 12:10:00,14.12,15.75,14.12,15.53,4540960,24.538060007065056,20.877888091563538,,,,,,,,,,
2008-10-14 12:10:00,15.88,16.76,15.62,15.84,5448361,27.151066182723582,20.680323852678693,,,,,,,,,,
2008-10-15 12:10:00,15.79,15.84,14.65,14.82,3095395,24.183777683587124,20.45050723100502,,,,,,,,,,
2008-10-16 12:10:00,14.12,15.31,13.46,15.09,4730626,26.474431971049782,20.240291261161687,,,,,,,,,,
2008-10-17 12:10:00,15.0,15.44,14.29,14.51,3221026,24.74488723530709,20.015573956802406,,,,,,,,,,
2008-10-20 12:10:00,14.51,14.96,14.21,14.6,3567586,25.55757710835222,19.80319850751604,,,21.04519886327148,,,,,,,
2008-10-21 12:10:00,14.91,15.09,14.56,14.82,2297733,27.615362573413805,19.60777895820169,,,21.04519886327148,,,,,,,
2008-10-22 12:10:00,14.74,14.82,14.38,14.69,1895378,27.137984421078272,19.414924881409465,,,21.04519886327148,,,,,,,
2008-10-23 12:10:00,14.03,14.34,11.78,13.85,3659831,24.22405366933809,19.1966925331189,,,21.04519886327148,,,,,,,
2008-10-24 12:10:00,14.07,14.07,11.78,12.18,5566145,19.696084974087654,18.921528120055413,,,21.04519886327148,,,,,,,
2008-10-27 12:10:00,12.18,12.53,11.03,11.6,5992611,18.40906708979061,18.63440937024932,,,17.2596084543582,,,,,,,
2008-10-28 12:10:00,12.35,12.35,12.0,12.31,1491573,24.880115141187133,18.386393316514052,,,17.2596084543582,,,,,,,
2008-10-31 12:10:00,11.51,12.22,11.29,11.96,4712350,23.874878578627232,18.13437789233703,,,17.2596084543582,,,,,,,
2008-11-03 12:11:00,12.79,12.79,12.09,12.49,4167516,28.580583563541822,17.913029739696363,,,16.94958741843847,,,,,,,
2008-11-04 12:11:00,12.35,13.59,12.0,13.37,6010090,35.68900861146197,17.73487171068866,,,16.94958741843847,,,,,,,
2008-11-05 12:11:00,13.24,14.12,12.53,12.71,5708260,33.033443885671375,17.537817918112637,,,16.94958741843847,,,,,,,
2008-11-06 12:11:00,12.44,12.57,12.0,12.26,2826223,31.322140154294033,17.330844666421946,,,16.94958741843847,,,,,,,
2008-11-07 12:11:00,12.4,14.74,11.91,14.12,17864472,44.19154245853407,17.20492918930736,,,16.94958741843847,,,,,,,
2008-11-10 12:11:00,14.34,15.88,14.34,15.66,15755258,52.18127239999666,17.14434373090315,,,30.205180559235785,,,,,,,
2008-11-11 12:11:00,15.22,15.71,14.38,14.74,14233174,47.78044755336552,17.050055741455967,,,30.205180559235785,,,,,,,
2008-11-12 12:11:00,15.53,16.9,15.22,15.88,36913617,53.06291949981496,17.00417120257534,,,30.205180559235785,,,,,,,
2008-11-14 12:11:00,17.65,18.79,17.43,17.82,41594634,60.403671249541205,17.036164488748856,,,30.205180559235785,,,,,,,
2008-11-17 12:11:00,17.65,18.26,17.65,18.09,13082806,61.31057961017716,17.07749137154302,,,46.080878728351834,,,,,,,
2008-11-18 12:11:00,18.09,18.18,17.87,18.0,8297119,60.81060124713863,17.113668180502117,,,46.080878728351834,,,,,,,
2008-11-19 12:11:00,18.04,18.09,18.0,18.04,5554841,60.96296958387946,17.149994918521642,,,46.080878728351834,,,,,,,
2008-11-20 12:11:00,17.87,17.96,16.94,17.38,9092539,57.023407751104266,17.15901472563844,,,46.080878728351834,,,,,,,
2008-11-21 12:11:00,17.38,17.78,17.03,17.51,5248336,57.60455357362667,17.172778854044775,,,46.080878728351834,,,,,,,
2008-11-24 12:11:00,17.38,17.74,17.29,17.47,3681758,57.347591133920616,17.184434585258703,,,45.154151372448894,,,,,,,
2008-11-25 12:11:00,17.65,17.87,17.25,17.29,2651110,56.13409949335635,17.188574405444637,,,45.154151372448894,,,,,,,
2008-11-26 12:11:00,17.21,17.56,17.16,17.43,1819377,56.89803879671941,17.19804207581936,,,45.154151372448894,,,,,,,
2008-11-28 12:11:00,16.99,17.6,16.99,17.38,4511030,56.51945984898588,17.205177680689186,,,45.154151372448894,,,,,,,
2008-12-01 12:12:00,17.47,17.65,17.29,17.38,3460737,56.51945984898588,17.21203345791706,,,44.747737378653134,,,,,,,
2008-12-02 12:12:00,17.03,17.34,17.03,17.21,3603779,55.07449277019151,17.21195371446933,,,44.747737378653134,,,,,,,
2008-12-03 12:12:00,17.21,17.56,17.16,17.21,2897359,55.07449277019151,17.211877098215634,,,44.747737378653134,,,,,,,
2008-12-04 12:12:00,16.72,17.56,16.72,17.47,2820888,57.02337695060572,17.221999564952274,,,44.747737378653134,,,,,,,
2008-12-05 12:12:00,17.65,17.91,17.29,17.82,4680794,59.56620462753438,17.245450562405125,,,44.747737378653134,,,,,,,
2008-12-08 12:12:00,17.69,18.18,17.65,17.87,2912637,59.9309421276229,17.269942697212766,,,46.50281334833939,,,,,,,
2008-12-10 12:12:00,17.74,18.09,17.74,17.96,2339431,60.61955278604927,17.297003767910304,,,46.50281334833939,,,,,,,
2008-12-11 12:12:00,18.09,18.09,17.38,17.47,4902537,55.070464866581865,17.303787933874606,,,46.50281334833939,,,,,,,
2008-12-12 12:12:00,17.21,17.91,17.21,17.78,1916129,57.70810944733712,17.32246291685992,,,46.50281334833939,,,,,,,
2008-12-15 12:12:00,18.0,18.09,17.87,18.0,2790256,59.5241518221444,17.34903299855169,,,46.358645442984425,,,,,,,
2008-12-16 12:12:00,18.09,18.22,17.91,18.04,2075769,59.86163378260983,17.376129743706525,,,46.358645442984425,,,,,,,
2008-12-17 12:12:00,18.18,18.18,17.69,17.74,1828084,56.084654516287856,17.390399165521956,,,46.358645442984425,,,,,,,
2008-12-18 12:12:00,17.65,18.0,17.65,17.96,1551968,58.169048851388816,17.412736453148543,,,46.358645442984425,,,,,,,
2008-12-19 12:12:00,18.0,18.13,17.82,18.04,2709709,58.93238365855933,17.437335023613308,,,46.358645442984425,,,,,,,
2008-12-22 12:12:00,18.53,18.97,17.87,18.09,2655055,59.43067099716589,17.46292972856965,,,47.498011181728316,,,,,,,
2008-12-23 12:12:00,18.09,18.09,17.78,17.87,1514268,56.19956876866865,17.478893268625743,18.306889179416814,,47.498011181728316,,,,,,,
2008-12-24 12:12:00,17.78,18.71,17.74,18.22,6385816,59.93181102365019,17.507956277699243,18.30516860160658,,47.498011181728316,,,,,,,
2008-12-26 12:12:00,18.26,18.49,17.51,18.09,9828865,57.95642041546509,17.530781521711038,18.300907837218332,,47.498011181728316,,,,,,,
2008-12-29 12:12:00,17.91,18.49,17.87,18.4,3554610,61.23745558031794,17.564868520859626,18.302870058263515,,47.727951052661936,,,,,,,
2008-12-30 12:12:00,18.35,18.62,18.35,18.49,2283930,62.16070643651596,17.60114818670827,18.30657560166424,,47.727951052661936,,,,,,,
2009-01-01 12:01:00,19.19,19.81,19.01,19.68,6752693,71.74387587935749,17.682671787229516,18.33377212440356,,47.727951052661936,,,,,,,
2009-01-02 12:01:00,20.21,20.21,19.46,19.54,5629854,69.5133855447449,17.75550818773032,18.35765782491042,,47.727951052661936,,,,,,,
2009-01-05 12:01:00,19.72,20.29,19.59,20.07,8116686,72.94287642892128,17.84627257252521,18.391565590753775,,54.0174272262612,,,,,,,
2009-01-06 12:01:00,20.47,20.51,19.63,19.76,6246160,68.11627069418773,17.921320706935983,18.41866330182796,,54.0174272262612,,,,,,,
2009-01-07 12:01:00,20.21,20.21,18.97,19.1,4289939,59.14338668117887,17.967543424311042,18.432155117633346,,54.0174272262612,,,,,,,
2009-01-09 12:01:00,18.93,19.5,18.62,19.15,4101764,59.57780866729942,18.013914270416493,18.44636986777922,,54.0174272262612,,,,,,,
2009-01-13 12:01:00,19.06,19.37,19.06,19.19,2825374,59.9447390453219,18.06003527941977,18.461095216932108,,52.1982209649681,,,,,,,
2009-01-14 12:01:00,19.76,19.85,19.24,19.72,3600177,64.5380606999027,18.1251319351288,18.486024024517608,,52.1982209649681,,,,,,,
2009-01-15 12:01:00,19.41,19.63,19.32,19.5,2564594,61.391011195140265,18.17904832982963,18.506102756705378,,52.1982209649681,,,,,,,
2009-01-16 12:01:00,19.41,19.72,19.41,19.59,2106388,62.20299902000271,18.234379767875527,18.527566068453783,,52.1982209649681,,,,,,,
2009-01-19 12:01:00,19.68,19.68,19.41,19.46,1684034,60.23249436580162,18.282443306390213,18.546030106702222,,54.07731316218301,,,,,,,
2009-01-20 12:01:00,19.5,20.12,19.06,19.9,4381973,64.34902677154602,18.34587690221805,18.572841391718022,,54.07731316218301,,,,,,,
2009-01-21 12:01:00,19.41,19.99,19.41,19.68,3169256,60.951652751758274,18.398195455072244,18.59476532455529,,54.07731316218301,,,,,,,
2009-01-22 12:01:00,19.72,19.81,19.46,19.63,3579304,60.174076798804606,18.446501515657648,18.61526502109875,,54.07731316218301,,,,,,,
2009-01-23 12:01:00,19.46,19.68,19.19,19.41,3773287,56.743919579580236,18.484285769945583,18.631002347413627,,54.07731316218301,,,,,,,
2009-01-27 12:01:00,19.46,19.85,19.28,19.54,4297326,58.258115248646924,18.525686327986932,18.64900230093019,,53.1567221428271,,,,,,,
2009-01-28 12:01:00,21.4,21.4,19.85,19.99,5299106,63.07640250899419,18.583110393556073,18.675556710812756,,53.1567221428271,,,,,,,
2009-01-29 12:01:00,19.99,20.29,19.81,20.12,5186827,64.35642446463176,18.643380574200933,18.704159548222403,,53.1567221428271,,,,,,,
2009-01-30 12:01:00,19.59,20.12,19.59,19.99,2547912,62.04024812743203,18.69618917913423,18.729621735386313,,53.1567221428271,,,,,,,
2009-02-02 12:02:00,20.03,20.43,19.63,19.99,5065028,62.04024812743203,18.74692685838387,18.754579720824207,,55.76956340874726,,,,,,,
2009-02-03 12:02:00,20.21,20.21,19.85,19.9,1227045,60.297839595515946,18.79214541295705,18.77726131051086,,55.76956340874726,,,,,,,
2009-02-04 12:02:00,19.99,20.21,19.85,19.9,2670605,60.297839595515946,18.835590690880306,18.799493759807675,,55.76956340874726,,,,,,,
2009-02-05 12:02:00,19.94,20.65,19.46,19.99,17916791,61.550229565500594,18.88086164417912,18.82306814080158,,55.76956340874726,,,,,,,
