datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2010-11-10 12:11:00,180.03,222.45,180.03,210.98,929427,,,,,,,,,,,,
2010-11-11 12:11:00,200.5,209.5,200.5,203.18,154427,,,,,,,,,,,,
2010-11-12 12:11:00,201.0,205.93,197.55,199.7,77009,,,,,,,,,,,,
2010-11-15 12:11:00,192.55,199.5,192.5,196.33,16408,,,,,,,,,,,,
2010-11-16 12:11:00,196.33,200.0,190.0,190.95,52883,,,,,,,,,,,,
2010-11-18 12:11:00,194.0,197.0,187.53,192.15,39941,,,,,,,,,,,,
2010-11-19 12:11:00,190.5,194.5,187.5,188.85,14874,,,,,,,,,,,,
2010-11-22 12:11:00,187.55,195.0,187.55,193.65,28664,,,,,,,,,,,,
2010-11-23 12:11:00,191.55,195.0,187.53,194.08,29402,,,,,,,,,,,,
2010-11-24 12:11:00,192.5,203.8,192.5,203.8,35718,,,,,,,,,,,,
2010-11-25 12:11:00,218.73,218.73,201.0,203.83,52154,,,,,,,,,,,,
2010-11-26 12:11:00,209.35,209.38,168.0,184.7,41959,,,,,,,,,,,,
2010-11-29 12:11:00,184.9,187.0,182.38,185.15,11112,,,,,,,,,,,,
2010-11-30 12:11:00,182.5,191.0,180.0,189.9,31147,37.37553691960936,,,,,,,,,,,
2010-12-01 12:12:00,185.05,192.38,169.53,189.2,79580,36.74636117341202,,,,,,,,,,,
2010-12-02 12:12:00,190.3,194.0,187.5,187.73,9073,35.39871462535032,,,,,,,,,,,
2010-12-03 12:12:00,186.05,189.0,159.0,173.55,87141,25.632989387732096,,,,,,,,,,,
2010-12-06 12:12:00,170.63,177.5,160.0,161.75,18672,20.55187550445278,,,,,,,,,,,
2010-12-07 12:12:00,162.0,164.03,159.25,162.8,15169,22.032902628850053,,,,,,,,,,,
2010-12-08 12:12:00,162.0,163.9,155.0,158.88,22614,20.49671232310702,,,,,,,,,,,
2010-12-09 12:12:00,159.48,159.5,135.5,139.18,61828,14.881324701443617,,,,,,,,,,,
2010-12-10 12:12:00,131.0,157.9,130.5,144.8,18898,21.489450813966286,,,,,,,,,,,
2010-12-13 12:12:00,147.0,154.5,147.0,150.7,17013,27.82441492841737,,,,,,,,,,,
2010-12-14 12:12:00,150.0,157.45,149.5,152.28,30441,29.465782154036717,,,,,,,,,,,
2010-12-15 12:12:00,152.05,152.5,148.03,149.2,4993,28.123148003185747,,,,,,,,,,,
2010-12-16 12:12:00,147.58,151.4,147.58,148.65,8368,27.878854845638998,,,,,,,,,,,
2010-12-20 12:12:00,149.5,149.5,141.68,143.6,15141,25.67365270884548,,,,,,,,,,,
2010-12-21 12:12:00,140.15,144.5,140.13,142.28,29124,25.114456152242454,,,,,,,,,,,
2010-12-22 12:12:00,143.45,144.35,141.38,142.55,12730,25.47203400435734,,,,,,,,,,,
2010-12-23 12:12:00,142.95,151.83,140.28,149.75,6908,34.45947322678869,,,,,,,,,,,
2010-12-24 12:12:00,150.03,154.0,149.13,150.45,6898,35.27667210935678,,,,,,,,,,,
2010-12-27 12:12:00,150.83,166.0,150.65,159.95,67311,45.25334385644873,,,,,,,,,,,
2010-12-28 12:12:00,157.6,172.98,157.6,165.95,133223,50.44844990391874,,,,,,,,,,,
2010-12-29 12:12:00,166.0,174.75,164.5,169.8,27081,53.49778150134106,,,,,,,,,,,
2010-12-30 12:12:00,169.5,178.0,168.85,170.85,22076,54.323353348719166,,,,,,,,,,,
2010-12-31 12:12:00,172.45,176.4,169.0,170.7,34034,54.175384651795795,,,,,,,,,,,
2011-01-03 12:01:00,172.5,174.98,167.45,167.93,11914,51.39152110577516,,,,,,,,,,,
2011-01-04 12:01:00,169.95,172.5,166.0,167.73,162588,51.186998876503615,,,,,,,,,,,
2011-01-05 12:01:00,168.0,169.0,164.0,167.6,7857,51.04479920754249,,,,,,,,,,,
2011-01-06 12:01:00,165.05,168.25,162.45,163.28,6611,46.42893796096641,,,,,,,,,,,
2011-01-07 12:01:00,164.88,164.88,155.0,155.38,9086,39.410489672199745,,,,,,,,,,,
2011-01-10 12:01:00,155.5,156.0,150.53,152.7,42545,37.347908598606296,,,,,,,,,,,
2011-01-11 12:01:00,150.5,156.43,144.25,145.28,8058,32.3065903267029,,,,,,,,,,,
2011-01-12 12:01:00,149.18,153.98,147.05,151.5,18043,39.65947986171033,,,,,,,,,,,
2011-01-13 12:01:00,150.5,154.0,142.75,145.43,6574,35.59601908176529,,,,,,,,,,,
2011-01-14 12:01:00,147.0,149.98,142.63,144.65,41469,35.09836616514836,,,,,,,,,,,
2011-01-17 12:01:00,140.55,144.5,139.0,140.45,2525,32.466297259626515,,,,,,,,,,,
2011-01-18 12:01:00,140.1,145.0,140.1,142.03,7660,34.457546079693614,,,,,,,,,,,
2011-01-19 12:01:00,144.0,144.0,135.5,139.03,7697,32.49819159418121,,,,,,,,,,,
2011-01-21 12:01:00,139.0,143.5,137.55,139.8,2838,33.542732149488,165.49328186297515,,,,,,,,,,
