datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,52.25,52.25,49.61,50.97,64046,,,,,,,,,,,,
2008-07-18 12:07:00,51.25,51.7,50.3,51.39,38300,,,,,,,,,,,,
2008-07-21 12:07:00,51.35,51.5,50.45,51.03,18875,,,,,,,,,,,,
2008-07-22 12:07:00,51.2,54.99,50.75,53.1,48665,,,,,,,,,,,,
2008-07-23 12:07:00,55.25,59.94,54.55,56.6,44180,,,,,,,,,,,,
2008-07-24 12:07:00,56.1,57.5,54.25,54.86,18100,,,,,,,,,,,,
2008-07-28 12:07:00,56.4,56.5,54.7,55.08,11280,,,,,,,,,,,,
2008-07-29 12:07:00,55.0,56.0,53.75,54.36,25253,,,,,,,,,,,,
2008-07-30 12:07:00,53.25,55.71,53.25,54.89,24312,,,,,,,,,,,,
2008-07-31 12:07:00,54.75,57.3,54.75,56.33,142640,,,,,,,,,,,,
2008-08-01 12:08:00,56.95,59.3,55.56,58.61,156094,,,,,,,,,,,,
2008-08-04 12:08:00,59.0,64.2,59.0,63.72,159321,,,,,,,,,,,,
2008-08-05 12:08:00,62.45,65.8,62.45,63.18,161420,,,,,,,,,,,,
2008-08-06 12:08:00,64.68,64.68,60.9,61.13,82942,72.23337623835161,,,,,,,,,,,
2008-08-07 12:08:00,58.75,64.3,57.67,63.5,131873,76.29674016674915,,,,,,,,,,,
2008-08-08 12:08:00,63.75,65.0,62.86,63.89,78900,76.89591338583563,,,,,,,,,,,
2008-08-11 12:08:00,64.95,65.44,63.01,64.24,112999,77.44689707063571,,,,,,,,,,,
2008-08-12 12:08:00,63.45,65.15,62.41,62.66,68707,69.40075235082634,,,,,,,,,,,
2008-08-13 12:08:00,62.45,64.0,61.8,62.31,53108,67.7222919268057,,,,,,,,,,,
2008-08-14 12:08:00,65.25,65.25,60.65,61.1,55542,62.12810417768156,,,,,,,,,,,
2008-08-18 12:08:00,61.0,61.48,60.08,60.86,27205,61.05087565880217,,,,,,,,,,,
2008-08-19 12:08:00,60.15,60.5,59.25,60.02,34686,57.30571539083394,,,,,,,,,,,
2008-08-20 12:08:00,60.02,60.7,59.5,59.98,16666,57.1260031175863,,,,,,,,,,,
2008-08-21 12:08:00,60.0,61.25,58.63,59.16,118476,53.42704432954701,,,,,,,,,,,
2008-08-25 12:08:00,63.0,63.25,61.56,61.85,43148,62.09741386577967,,,,,,,,,,,
2008-08-26 12:08:00,60.2,63.2,60.2,62.46,34325,63.745674459439655,,,,,,,,,,,
2008-08-27 12:08:00,62.8,63.75,61.03,61.3,53945,58.532889233754425,,,,,,,,,,,
2008-08-28 12:08:00,61.6,62.73,61.2,62.19,91546,61.15737591861532,,,,,,,,,,,
2008-08-29 12:08:00,62.54,64.2,62.54,63.53,98989,64.7724900913225,,,,,,,,,,,
2008-09-01 12:09:00,63.4,64.92,63.0,63.55,76956,64.82511072523904,,,,,,,,,,,
2008-09-02 12:09:00,63.5,64.3,62.66,63.79,77479,65.49125639202457,,,,,,,,,,,
2008-09-04 12:09:00,63.5,63.5,61.63,62.12,46937,57.352160524303166,,,,,,,,,,,
2008-09-05 12:09:00,61.0,63.19,60.76,61.43,112971,54.34688167462788,,,,,,,,,,,
2008-09-08 12:09:00,63.45,63.45,60.86,61.12,65141,53.00308540891514,,,,,,,,,,,
2008-09-09 12:09:00,61.0,61.4,58.57,59.58,62884,46.8108301180498,,,,,,,,,,,
2008-09-10 12:09:00,58.85,60.49,58.1,59.07,29925,44.93842554737094,,,,,,,,,,,
2008-09-11 12:09:00,59.39,59.69,57.05,58.93,47112,44.413245278645704,,,,,,,,,,,
2008-09-12 12:09:00,59.05,59.4,58.05,58.33,23089,42.14026479451728,,,,,,,,,,,
2008-09-15 12:09:00,61.0,61.0,53.17,57.23,49987,38.27301688178538,,,,,,,,,,,
2008-09-18 12:09:00,57.5,57.5,54.0,55.31,82228,32.6421336763764,,,,,,,,,,,
2008-09-19 12:09:00,57.5,61.13,55.58,59.89,110947,51.11728715980911,,,,,,,,,,,
2008-09-22 12:09:00,59.95,60.3,58.1,58.63,74314,47.27556288118171,,,,,,,,,,,
2008-09-23 12:09:00,59.85,60.45,57.0,57.39,177987,43.787797078764704,,,,,,,,,,,
2008-09-24 12:09:00,57.5,58.0,55.51,55.71,107582,39.53243559225782,,,,,,,,,,,
2008-09-25 12:09:00,55.39,56.74,54.55,56.0,95203,40.60544467114877,,,,,,,,,,,
2008-09-26 12:09:00,55.5,55.95,53.55,54.91,91480,37.884289832302954,,,,,,,,,,,
2008-09-29 12:09:00,55.75,56.5,52.25,54.27,68271,36.344212916386574,,,,,,,,,,,
2008-09-30 12:09:00,54.27,56.4,51.63,55.58,37417,41.57932336331578,,,,,,,,,,,
2008-10-01 12:10:00,56.0,57.44,53.76,55.9,77611,42.81647308024326,,,,,,,,,,,
2008-10-06 12:10:00,51.55,53.01,47.25,47.7,68733,27.023914581165386,57.194191713394964,,,,,,,,,,
2008-10-07 12:10:00,47.56,49.5,47.5,48.09,75589,28.377013258485235,56.837164587379476,,,,,,,,,,
2008-10-08 12:10:00,47.0,47.0,37.15,44.55,247051,24.02291734438211,56.35531499571754,,,,,,,,,,
2008-10-10 12:10:00,41.88,43.5,36.9,41.11,151164,20.699195714554023,55.757459505689404,,,,,,,,,,
2008-10-13 12:10:00,43.09,49.5,41.55,47.31,64675,37.4867949342534,55.42618658389766,,,,,,,,,,
2008-10-14 12:10:00,49.48,51.95,46.11,46.89,77785,36.91666254188807,55.09143416884285,,,,,,,,,,
2008-10-15 12:10:00,45.95,45.95,39.12,40.16,118821,29.242060926454016,54.50588773084902,,,,,,,,,,
2008-10-16 12:10:00,37.5,43.25,35.25,42.9,167108,35.152837814142174,54.05075487865886,,,,,,,,,,
2008-10-17 12:10:00,44.25,44.25,40.02,41.91,130932,34.04619544281171,53.574646844201645,,,,,,,,,,
2008-10-20 12:10:00,42.26,43.9,40.55,42.49,173000,35.330662001041574,53.1399548110957,,,31.722706596307034,,,,,,,
2008-10-21 12:10:00,43.0,51.1,43.0,50.03,285641,49.1854295343271,53.01799579889587,,,31.722706596307034,,,,,,,
2008-10-22 12:10:00,47.51,48.75,45.6,46.39,112489,44.25609145776417,52.7580743950176,,,31.722706596307034,,,,,,,
2008-10-23 12:10:00,45.05,50.5,43.85,48.93,200693,48.16028850686918,52.607953830507114,,,31.722706596307034,,,,,,,
2008-10-24 12:10:00,47.6,48.24,44.33,44.97,167234,43.09287928038378,52.30842622931076,,,31.722706596307034,,,,,,,
2008-10-27 12:10:00,44.5,46.75,42.3,45.99,162724,44.70671368510453,52.06064480855348,,,37.64008387440775,,,,,,,
2008-10-28 12:10:00,49.0,49.0,46.55,47.31,25094,46.8089864587458,51.874345012139614,,,37.64008387440775,,,,,,,
2008-10-31 12:10:00,51.31,52.75,48.4,50.41,346134,51.47508486523788,51.81691971754591,,,37.64008387440775,,,,,,,
2008-11-03 12:11:00,51.5,53.25,47.63,49.61,204819,50.25000414178176,51.7303738462696,,,46.51469963299614,,,,,,,
2008-11-04 12:11:00,49.25,49.65,47.09,47.66,158786,47.29529406770266,51.57075134249432,,,46.51469963299614,,,,,,,
2008-11-05 12:11:00,48.0,49.45,40.0,47.31,78702,46.763790004434426,51.40366305455336,,,46.51469963299614,,,,,,,
2008-11-06 12:11:00,46.0,47.41,44.65,45.41,54089,43.88086042848063,51.16861744457088,,,46.51469963299614,,,,,,,
2008-11-07 12:11:00,44.5,46.5,44.05,45.96,56172,44.939046000300635,50.96435793694065,,,46.51469963299614,,,,,,,
2008-11-10 12:11:00,46.3,47.45,46.08,46.83,66694,46.65262882979364,50.80222625313906,,,41.332846009335164,,,,,,,
2008-11-11 12:11:00,47.0,47.35,45.05,45.13,69119,43.78513547653379,50.579786007917924,,,41.332846009335164,,,,,,,
2008-11-12 12:11:00,44.34,46.0,43.76,44.67,67559,43.01469909662358,50.34802969388193,,,41.332846009335164,,,,,,,
2008-11-14 12:11:00,45.9,46.3,42.8,43.14,94395,40.464342798817846,50.065361862749306,,,41.332846009335164,,,,,,,
2008-11-17 12:11:00,43.25,43.3,40.7,41.87,47658,38.42765338131019,49.74397512303365,,,38.41245648416321,,,,,,,
2008-11-18 12:11:00,41.49,42.92,40.56,41.51,95623,37.84614308898346,49.421074137816646,,,38.41245648416321,,,,,,,
2008-11-19 12:11:00,40.76,43.25,40.76,42.42,134023,40.30522739566826,49.14652221084344,,,38.41245648416321,,,,,,,
2008-11-20 12:11:00,40.01,42.0,40.01,41.24,80299,38.19496366752345,48.836462516300564,,,38.41245648416321,,,,,,,
2008-11-21 12:11:00,41.0,46.2,40.61,44.15,93554,45.73983951084529,48.65267967252407,,,38.41245648416321,,,,,,,
2008-11-24 12:11:00,44.95,44.95,41.31,42.76,59779,43.03725496427602,48.421594195170194,,,40.04632912398374,,,,,,,
2008-11-25 12:11:00,47.0,47.0,42.58,44.15,94518,46.44501671602518,48.25408069732038,,,40.04632912398374,,,,,,,
2008-11-26 12:11:00,44.3,46.0,43.15,45.64,109336,49.90466352041415,48.151567728798014,,,40.04632912398374,,,,,,,
2008-11-28 12:11:00,45.25,47.5,44.1,46.76,99486,52.394143819083176,48.09699644531574,,,40.04632912398374,,,,,,,
2008-12-01 12:12:00,47.0,47.5,42.64,43.11,128570,44.61316923653834,47.90142795726414,,,44.16834479363732,,,,,,,
2008-12-02 12:12:00,42.0,42.2,40.28,41.46,173208,41.605192018667566,47.64882293933221,,,44.16834479363732,,,,,,,
2008-12-03 12:12:00,41.1,43.75,41.1,43.24,124465,45.84703373334288,47.4759279221035,,,44.16834479363732,,,,,,,
2008-12-04 12:12:00,43.12,44.5,41.1,43.98,276651,47.55272168105119,47.338832709471994,,,44.16834479363732,,,,,,,
2008-12-05 12:12:00,43.2,44.2,41.1,41.58,146693,42.83981224382416,47.11299613262996,,,44.16834479363732,,,,,,,
2008-12-08 12:12:00,42.26,43.75,41.3,42.8,116616,45.78148659371522,46.94385902938957,,,38.509410342207936,,,,,,,
2008-12-10 12:12:00,43.0,44.25,42.11,43.72,139029,47.956587419760446,46.81743318509978,,,38.509410342207936,,,,,,,
2008-12-11 12:12:00,42.62,43.95,40.9,41.36,177065,43.17201665192541,46.603416197448816,,,38.509410342207936,,,,,,,
2008-12-12 12:12:00,40.5,44.25,40.5,43.64,215989,48.51610505994242,46.487203797548865,,,38.509410342207936,,,,,,,
2008-12-15 12:12:00,44.4,45.94,43.5,44.86,187462,51.1626145879213,46.4233918839195,,,41.70797284458517,,,,,,,
2008-12-16 12:12:00,44.65,46.75,44.22,46.18,139239,53.9224922489805,46.41384710415795,,,41.70797284458517,,,,,,,
2008-12-17 12:12:00,46.6,47.22,45.11,45.68,108643,52.70745325806657,46.38506878634784,,,41.70797284458517,,,,,,,
2008-12-18 12:12:00,45.7,48.0,45.3,47.71,161089,56.948910753150685,46.437026873157734,,,41.70797284458517,,,,,,,
2008-12-19 12:12:00,47.6,49.85,47.5,49.1,387260,59.619444971726054,46.541457191857425,,,41.70797284458517,,,,,,,
