datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,39.48,40.16,38.55,39.81,16171,,,,,,,,,,,,
2008-07-18 12:07:00,41.11,41.11,38.83,40.25,18295,,,,,,,,,,,,
2008-07-21 12:07:00,39.5,40.25,39.25,39.73,12217,,,,,,,,,,,,
2008-07-22 12:07:00,39.5,40.5,39.36,40.29,20934,,,,,,,,,,,,
2008-07-23 12:07:00,40.63,42.49,39.98,41.29,29364,,,,,,,,,,,,
2008-07-24 12:07:00,41.03,41.99,40.05,40.4,11021,,,,,,,,,,,,
2008-07-28 12:07:00,40.35,41.05,39.75,40.34,8535,,,,,,,,,,,,
2008-07-29 12:07:00,40.0,43.5,39.55,42.53,34275,,,,,,,,,,,,
2008-07-30 12:07:00,43.76,43.86,42.51,43.71,111034,,,,,,,,,,,,
2008-07-31 12:07:00,43.75,46.0,43.36,45.44,186206,,,,,,,,,,,,
2008-08-01 12:08:00,46.25,48.63,45.5,46.55,113362,,,,,,,,,,,,
2008-08-04 12:08:00,46.93,47.0,45.61,46.41,35892,,,,,,,,,,,,
2008-08-05 12:08:00,46.88,47.0,44.5,46.16,17185,,,,,,,,,,,,
2008-08-06 12:08:00,46.16,46.75,44.56,45.18,15859,71.9190840325002,,,,,,,,,,,
2008-08-07 12:08:00,44.75,46.63,44.75,46.4,23939,76.13125174117398,,,,,,,,,,,
2008-08-08 12:08:00,46.75,48.63,45.76,47.11,85140,78.18234607371386,,,,,,,,,,,
2008-08-11 12:08:00,47.75,49.75,47.63,48.1,114989,80.67588998804388,,,,,,,,,,,
2008-08-12 12:08:00,47.5,49.41,47.13,47.58,55790,75.77698383571808,,,,,,,,,,,
2008-08-13 12:08:00,47.5,48.5,46.65,46.99,27447,70.54288495502624,,,,,,,,,,,
2008-08-14 12:08:00,47.25,47.99,46.33,46.93,24477,70.01325952806158,,,,,,,,,,,
2008-08-18 12:08:00,46.5,47.99,45.54,45.98,24959,62.067475927924505,,,,,,,,,,,
2008-08-19 12:08:00,45.86,46.5,45.38,46.11,10915,62.6914538055188,,,,,,,,,,,
2008-08-20 12:08:00,46.0,47.11,45.78,46.43,11625,64.25036154734329,,,,,,,,,,,
2008-08-21 12:08:00,46.88,47.25,46.25,46.99,122313,66.86003888521961,,,,,,,,,,,
2008-08-25 12:08:00,47.59,48.48,47.5,48.0,54557,70.97532932363188,,,,,,,,,,,
