datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,12.14,13.86,12.06,12.35,6423,,,,,,,,,,,,
2008-07-18 12:07:00,12.42,12.6,12.29,12.49,4823,,,,,,,,,,,,
2008-07-21 12:07:00,12.38,14.49,10.64,14.04,38841,,,,,,,,,,,,
2008-07-22 12:07:00,13.28,14.18,13.1,13.37,27555,,,,,,,,,,,,
2008-07-23 12:07:00,13.95,14.4,13.34,14.11,71808,,,,,,,,,,,,
2008-07-24 12:07:00,14.49,14.54,13.28,14.22,15559,,,,,,,,,,,,
2008-07-28 12:07:00,13.95,14.6,13.73,14.19,18943,,,,,,,,,,,,
2008-07-29 12:07:00,13.95,14.09,13.82,13.91,10861,,,,,,,,,,,,
2008-07-30 12:07:00,13.88,14.31,13.88,13.97,3539,,,,,,,,,,,,
2008-07-31 12:07:00,13.84,14.69,13.81,14.22,12171,,,,,,,,,,,,
2008-08-01 12:08:00,13.86,14.49,13.86,14.13,5303,,,,,,,,,,,,
2008-08-04 12:08:00,14.63,16.94,14.02,14.15,15761,,,,,,,,,,,,
2008-08-05 12:08:00,14.45,14.63,14.23,14.53,11532,,,,,,,,,,,,
2008-08-06 12:08:00,14.81,15.75,14.59,15.26,18179,81.01005586583801,,,,,,,,,,,
2008-08-07 12:08:00,15.74,16.29,14.76,15.77,17798,83.86797329601299,,,,,,,,,,,
2008-08-08 12:08:00,15.44,15.77,15.44,15.6,5952,79.5692951483023,,,,,,,,,,,
2008-08-11 12:08:00,15.84,17.46,15.53,17.28,32965,86.78040353668642,,,,,,,,,,,
2008-08-12 12:08:00,17.33,17.73,16.74,16.92,13018,80.24441347792335,,,,,,,,,,,
2008-08-13 12:08:00,16.61,17.46,16.52,16.58,8618,74.53476093759816,,,,,,,,,,,
2008-08-14 12:08:00,16.85,16.88,16.29,16.37,5554,71.16657543623717,,,,,,,,,,,
2008-08-18 12:08:00,16.02,16.38,15.98,16.15,3419,67.71429876111091,,,,,,,,,,,
2008-08-19 12:08:00,16.07,16.07,15.71,15.91,3331,64.06329689119974,,,,,,,,,,,
2008-08-20 12:08:00,16.46,16.46,15.8,15.95,3223,64.40774248845608,,,,,,,,,,,
2008-08-21 12:08:00,15.85,16.02,14.06,15.05,3860,52.26854405590444,,,,,,,,,,,
2008-08-25 12:08:00,15.44,15.57,14.99,15.23,1860,54.13058742018352,,,,,,,,,,,
2008-08-26 12:08:00,15.23,15.25,14.85,14.93,1334,50.588415629451056,,,,,,,,,,,
2008-08-27 12:08:00,14.76,15.09,14.63,14.7,1372,47.99532847945258,,,,,,,,,,,
2008-08-28 12:08:00,14.63,14.82,14.4,14.41,1566,44.87214357511853,,,,,,,,,,,
2008-08-29 12:08:00,14.85,15.06,14.45,14.58,2333,47.047453713267984,,,,,,,,,,,
2008-09-01 12:09:00,14.71,14.76,14.4,14.49,1156,46.012305949190036,,,,,,,,,,,
2008-09-02 12:09:00,14.85,15.75,14.54,15.23,9196,54.815318885008686,,,,,,,,,,,
2008-09-04 12:09:00,15.12,15.21,14.72,15.01,2126,52.095664075991955,,,,,,,,,,,
2008-09-05 12:09:00,14.85,14.97,14.49,14.68,2378,48.230157120015726,,,,,,,,,,,
2008-09-08 12:09:00,15.41,15.66,14.86,14.98,4947,51.736208791940705,,,,,,,,,,,
2008-09-09 12:09:00,15.07,15.07,14.78,14.91,1479,50.87050565990504,,,,,,,,,,,
2008-09-10 12:09:00,14.51,14.97,14.32,14.42,2856,45.17240257981719,,,,,,,,,,,
2008-09-11 12:09:00,14.4,14.57,14.31,14.36,3173,44.5148820348068,,,,,,,,,,,
2008-09-12 12:09:00,14.67,14.67,14.29,14.38,3489,44.8032936388028,,,,,,,,,,,
2008-09-15 12:09:00,13.62,14.04,12.97,13.67,4034,37.375836221159375,,,,,,,,,,,
2008-09-18 12:09:00,12.24,13.05,12.2,12.85,2999,30.986656142244897,,,,,,,,,,,
2008-09-19 12:09:00,13.1,13.55,13.05,13.3,3762,37.31911895258545,,,,,,,,,,,
2008-09-22 12:09:00,13.41,13.49,12.9,13.11,2459,35.82445044231643,,,,,,,,,,,
2008-09-23 12:09:00,12.47,13.04,12.47,12.62,1838,32.238416715030525,,,,,,,,,,,
2008-09-24 12:09:00,13.05,13.05,12.6,12.69,1739,33.26612025088707,,,,,,,,,,,
2008-09-25 12:09:00,12.86,12.86,12.38,12.44,1135,31.432577849440577,,,,,,,,,,,
2008-09-26 12:09:00,12.24,12.46,11.7,11.89,2165,27.802026218598996,,,,,,,,,,,
2008-09-29 12:09:00,12.02,12.02,11.25,11.43,3168,25.182234817476612,,,,,,,,,,,
2008-09-30 12:09:00,10.8,11.25,10.49,11.11,3553,23.52174351970079,,,,,,,,,,,
2008-10-01 12:10:00,11.12,11.34,10.76,10.94,4402,22.666650598535327,,,,,,,,,,,
2008-10-06 12:10:00,10.58,10.58,9.23,9.73,5779,17.726964886289025,13.454766105320257,,,,,,,,,,
2008-10-07 12:10:00,10.12,10.13,9.23,9.29,3213,16.333064807883773,13.291441944327307,,,,,,,,,,
2008-10-08 12:10:00,9.14,9.14,7.44,8.34,8811,13.808436844768465,13.097267750432119,,,,,,,,,,
2008-10-10 12:10:00,7.88,8.33,6.98,7.24,8846,11.577021970779214,12.867570975905368,,,,,,,,,,
2008-10-13 12:10:00,7.43,8.01,7.43,7.78,4596,18.536617530089885,12.668058388614961,,,,,,,,,,
2008-10-14 12:10:00,8.06,8.68,8.06,8.24,2976,24.022572103013857,12.494409040041825,,,,,,,,,,
2008-10-15 12:10:00,8.05,8.28,7.65,7.67,3796,22.041783166861066,12.305216528667636,,,,,,,,,,
2008-10-16 12:10:00,7.61,7.65,6.75,7.39,2719,21.120504849337152,12.11246293930812,,,,,,,,,,
2008-10-17 12:10:00,7.32,7.92,6.8,7.06,4622,20.056508708745596,11.914327137766627,,,,,,,,,,
2008-10-20 12:10:00,6.55,7.4,6.55,6.79,2247,19.20406928011853,11.713373132364014,,,19.70582943739278,,,,,,,
2008-10-21 12:10:00,6.93,7.42,6.73,6.87,23752,20.285150516092003,11.523436931094837,,,19.70582943739278,,,,,,,
2008-10-22 12:10:00,6.8,7.16,6.57,6.63,10934,19.444581495820714,11.331537443600922,,,19.70582943739278,,,,,,,
2008-10-23 12:10:00,6.52,6.79,6.52,6.6,5261,19.336718465875762,11.145986955616571,,,19.70582943739278,,,,,,,
2008-10-24 12:10:00,6.47,7.02,5.9,6.05,6116,17.4279769865051,10.946144329906117,,,19.70582943739278,,,,,,,
2008-10-27 12:10:00,5.85,5.9,4.86,5.71,10456,16.353316942582723,10.740805336576466,,,17.680247268601804,,,,,,,
2008-10-28 12:10:00,5.85,6.48,5.72,6.19,2303,23.523030392442664,10.562342382200919,,,17.680247268601804,,,,,,,
2008-10-31 12:10:00,6.57,7.11,6.57,6.92,2933,32.93756201356602,10.419505426036178,,,17.680247268601804,,,,,,,
2008-11-03 12:11:00,7.07,7.65,7.07,7.49,3874,39.22835926552787,10.30462286030927,,,24.846421646718298,,,,,,,
2008-11-04 12:11:00,7.56,7.56,7.04,7.39,3231,38.54522392778925,10.190323924610865,,,24.846421646718298,,,,,,,
2008-11-05 12:11:00,7.65,7.84,7.34,7.38,4610,38.473071964059,10.080115143253577,,,24.846421646718298,,,,,,,
2008-11-06 12:11:00,7.02,7.16,6.8,6.98,1606,35.60229011242596,9.958542000380888,,,24.846421646718298,,,,,,,
2008-11-07 12:11:00,6.67,7.51,5.63,7.22,4055,38.56438828280777,9.851148196444383,,,24.846421646718298,,,,,,,
2008-11-10 12:11:00,7.38,7.63,7.01,7.52,3212,42.146610548991184,9.759730620113231,,,27.19985678662917,,,,,,,
2008-11-11 12:11:00,7.88,7.88,6.98,7.11,1673,38.8155299046185,9.655819615402908,,,27.19985678662917,,,,,,,
2008-11-12 12:11:00,6.78,6.97,6.53,6.6,3070,35.099382197005056,9.535983552053775,,,27.19985678662917,,,,,,,
2008-11-14 12:11:00,6.75,6.75,6.48,6.6,2741,35.099382197005056,9.420846942169312,,,27.19985678662917,,,,,,,
2008-11-17 12:11:00,6.3,6.48,6.19,6.26,2226,32.680294993665356,9.296892160123457,,,25.427651840104474,,,,,,,
2008-11-18 12:11:00,6.08,6.11,5.87,5.98,1951,30.797792998655524,9.166817957765675,,,25.427651840104474,,,,,,,
2008-11-19 12:11:00,6.08,6.24,5.72,5.99,2170,30.950773101820857,9.042236861382706,,,25.427651840104474,,,,,,,
2008-11-20 12:11:00,5.85,5.87,5.36,5.54,4929,27.955854814259666,8.904894239367698,,,25.427651840104474,,,,,,,
2008-11-21 12:11:00,5.85,5.85,5.54,5.7,2937,30.529827910182462,8.77921211233367,,,25.427651840104474,,,,,,,
2008-11-24 12:11:00,5.73,6.2,5.72,6.07,3601,36.20595217686726,8.672968500085291,,,23.077128349189948,,,,,,,
2008-11-25 12:11:00,6.29,6.29,5.92,5.94,1259,35.120185198717124,8.565793264787828,,,23.077128349189948,,,,,,,
2008-11-26 12:11:00,5.9,5.9,5.73,5.81,1226,34.02144725312655,8.457722940678503,,,23.077128349189948,,,,,,,
2008-11-28 12:11:00,5.63,6.3,5.63,6.18,3580,39.79463370964188,8.368400472416601,,,23.077128349189948,,,,,,,
2008-12-01 12:12:00,6.18,6.47,5.68,5.72,3223,35.62146995074646,8.264541630361048,,,26.955329111961362,,,,,,,
2008-12-02 12:12:00,5.4,5.77,5.4,5.6,1582,34.60205521258483,8.160049801719438,,,26.955329111961362,,,,,,,
2008-12-03 12:12:00,5.83,5.84,5.51,5.56,7408,34.25019869904111,8.058087064397109,,,26.955329111961362,,,,,,,
2008-12-04 12:12:00,5.67,5.76,5.58,5.64,5065,35.65936967792983,7.963260120695261,,,26.955329111961362,,,,,,,
2008-12-05 12:12:00,5.64,5.84,5.56,5.61,8409,35.353373460534556,7.870975410079761,,,26.955329111961362,,,,,,,
2008-12-08 12:12:00,5.84,5.94,5.58,5.67,3191,36.52651236284143,7.784662648900163,,,25.322644998485302,,,,,,,
2008-12-10 12:12:00,5.63,6.06,5.63,5.89,3755,40.770715570383786,7.710362152864862,,,25.322644998485302,,,,,,,
2008-12-11 12:12:00,6.07,6.26,5.94,6.11,4772,44.74928031746672,7.647602852752515,,,25.322644998485302,,,,,,,
2008-12-12 12:12:00,5.85,6.35,5.85,6.3,3836,47.9980940297173,7.594755682056338,,,25.322644998485302,,,,,,,
2008-12-15 12:12:00,6.65,7.56,6.3,7.56,14420,63.377423290682835,7.593392714132561,,,30.787760542997646,,,,,,,
2008-12-16 12:12:00,7.7,8.19,7.52,7.99,17471,66.96778664189046,7.608945941029323,,,30.787760542997646,,,,,,,
2008-12-17 12:12:00,7.97,8.1,7.19,7.29,7409,57.146017103342146,7.59643825706739,,,30.787760542997646,,,,,,,
2008-12-18 12:12:00,6.98,7.43,6.98,7.29,5479,57.146017103342146,7.584421070515727,,,30.787760542997646,,,,,,,
2008-12-19 12:12:00,7.29,7.7,7.23,7.36,3770,57.862753264328724,7.5756202442209934,,,30.787760542997646,,,,,,,
2008-12-22 12:12:00,7.43,7.74,7.27,7.36,4910,57.86275326432873,7.56716454836919,,,38.26257459533937,,,,,,,
2008-12-23 12:12:00,7.38,7.38,6.84,6.93,2142,51.70223532482029,7.5421777033351045,9.115014011548684,,38.26257459533937,,,,,,,
2008-12-24 12:12:00,6.83,6.91,6.57,6.66,3113,48.22995350026968,7.507582499282747,9.066399872706135,,38.26257459533937,,,,,,,
2008-12-26 12:12:00,6.71,6.93,6.39,6.5,2923,46.24779849709775,7.4680694600951885,9.015580073246607,,38.26257459533937,,,,,,,
2008-12-29 12:12:00,6.4,6.66,6.4,6.6,2405,47.694674713561774,7.434027520483613,8.967746804469446,,34.96337833906344,,,,,,,
2008-12-30 12:12:00,6.75,6.88,6.57,6.71,1925,49.310990790063535,7.405634284386216,8.9230389469552,,34.96337833906344,,,,,,,
