datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,48.77,50.85,48.31,50.29,3115,,,,,,,,,,,,
2008-07-18 12:07:00,48.08,51.19,48.08,50.29,952,,,,,,,,,,,,
2008-07-21 12:07:00,49.81,50.7,49.33,49.94,1143,,,,,,,,,,,,
2008-07-22 12:07:00,49.18,51.12,49.18,50.85,1554,,,,,,,,,,,,
2008-07-23 12:07:00,50.5,51.54,50.5,51.14,16733,,,,,,,,,,,,
2008-07-24 12:07:00,49.81,52.51,49.81,50.89,553,,,,,,,,,,,,
2008-07-28 12:07:00,49.15,51.54,49.15,50.07,1228,,,,,,,,,,,,
2008-07-29 12:07:00,49.53,50.15,49.53,49.7,7105,,,,,,,,,,,,
2008-07-30 12:07:00,50.15,50.15,49.74,49.81,834,,,,,,,,,,,,
2008-07-31 12:07:00,49.67,50.02,49.67,50.02,12269,,,,,,,,,,,,
2008-08-01 12:08:00,49.47,50.43,49.47,50.15,1107,,,,,,,,,,,,
2008-08-04 12:08:00,50.29,51.12,50.16,50.43,538,,,,,,,,,,,,
2008-08-05 12:08:00,50.85,50.85,50.02,50.65,1375,,,,,,,,,,,,
2008-08-06 12:08:00,50.71,51.19,50.64,50.66,1228,57.43972278922529,,,,,,,,,,,
2008-08-07 12:08:00,50.85,51.88,50.85,51.54,27697,69.51400365556611,,,,,,,,,,,
2008-08-08 12:08:00,51.54,51.54,50.92,51.3,642,64.16732578745123,,,,,,,,,,,
2008-08-11 12:08:00,51.19,51.54,50.65,51.49,3213,66.37245442442243,,,,,,,,,,,
2008-08-12 12:08:00,51.19,57.42,50.98,54.66,276904,84.0303790925949,,,,,,,,,,,
2008-08-13 12:08:00,52.44,55.97,52.44,54.07,79835,76.02839397907292,,,,,,,,,,,
2008-08-14 12:08:00,54.03,54.03,52.92,53.04,14159,64.48372623904785,,,,,,,,,,,
2008-08-18 12:08:00,53.23,53.5,52.09,52.47,6178,59.13249023696857,,,,,,,,,,,
2008-08-19 12:08:00,52.4,52.89,51.89,52.27,6516,57.334610373982436,,,,,,,,,,,
2008-08-20 12:08:00,52.99,53.48,51.75,52.5,6293,58.88285635141912,,,,,,,,,,,
2008-08-21 12:08:00,52.16,52.72,51.98,52.12,3597,55.31160089607443,,,,,,,,,,,
2008-08-25 12:08:00,52.58,53.13,51.69,52.36,3777,57.082049605819506,,,,,,,,,,,
2008-08-26 12:08:00,52.44,52.65,51.88,52.07,1526,54.28353171554404,,,,,,,,,,,
2008-08-27 12:08:00,52.44,53.05,51.99,52.91,4298,60.34759874062518,,,,,,,,,,,
2008-08-28 12:08:00,52.99,53.27,52.17,52.32,2633,54.8447935857071,,,,,,,,,,,
2008-08-29 12:08:00,52.92,52.92,52.3,52.37,2793,55.217473008217695,,,,,,,,,,,
