datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,87.0,89.95,84.85,86.65,884763,,,,,,,,,,,,
2008-07-18 12:07:00,88.65,88.65,82.5,86.75,673772,,,,,,,,,,,,
2008-07-21 12:07:00,86.75,89.6,84.8,87.75,780600,,,,,,,,,,,,
2008-07-22 12:07:00,87.5,92.6,87.25,88.75,1070988,,,,,,,,,,,,
2008-07-23 12:07:00,92.9,95.95,90.9,91.7,1131718,,,,,,,,,,,,
2008-07-24 12:07:00,92.9,94.5,88.0,90.15,554649,,,,,,,,,,,,
2008-07-28 12:07:00,91.75,94.45,91.4,93.4,708380,,,,,,,,,,,,
2008-07-29 12:07:00,91.9,94.4,90.6,91.4,786288,,,,,,,,,,,,
2008-07-30 12:07:00,92.8,93.65,91.7,92.3,398662,,,,,,,,,,,,
2008-07-31 12:07:00,93.4,97.4,91.3,93.3,1534579,,,,,,,,,,,,
2008-08-01 12:08:00,92.0,98.5,91.5,97.5,3050247,,,,,,,,,,,,
2008-08-04 12:08:00,98.0,102.9,97.7,100.25,2217783,,,,,,,,,,,,
2008-08-05 12:08:00,101.1,103.8,100.25,101.4,1207463,,,,,,,,,,,,
2008-08-06 12:08:00,103.0,120.7,103.0,115.7,9636411,92.62831310812133,,,,,,,,,,,
2008-08-07 12:08:00,114.75,117.05,110.0,111.45,4532225,80.00741249874676,,,,,,,,,,,
2008-08-08 12:08:00,107.3,116.0,105.0,113.25,3575514,81.17717996879084,,,,,,,,,,,
2008-08-11 12:08:00,115.0,115.65,112.0,113.8,1402266,81.53273592778015,,,,,,,,,,,
2008-08-12 12:08:00,112.0,122.2,112.0,117.65,4103851,83.83465927630309,,,,,,,,,,,
2008-08-13 12:08:00,120.0,120.0,111.25,112.1,2350700,70.2420610057656,,,,,,,,,,,
2008-08-14 12:08:00,110.5,115.25,107.7,108.7,3255083,63.45452575861459,,,,,,,,,,,
2008-08-18 12:08:00,110.0,112.5,102.6,103.55,3638048,54.81435792557057,,,,,,,,,,,
2008-08-19 12:08:00,99.05,109.9,99.05,109.15,3263177,61.028388944875786,,,,,,,,,,,
2008-08-20 12:08:00,110.2,111.6,106.5,107.35,3088845,58.255216104973066,,,,,,,,,,,
2008-08-21 12:08:00,101.2,107.9,99.65,101.1,1809311,49.79430880817652,,,,,,,,,,,
2008-08-25 12:08:00,106.0,106.65,101.6,102.05,1095320,50.960202777900676,,,,,,,,,,,
2008-08-26 12:08:00,101.6,103.9,100.1,103.15,1132365,52.34030460593531,,,,,,,,,,,
2008-08-27 12:08:00,100.35,104.25,99.1,99.45,1198243,47.49820837682526,,,,,,,,,,,
2008-08-28 12:08:00,100.0,100.9,90.7,92.1,2916060,39.65090303686796,,,,,,,,,,,
2008-08-29 12:08:00,93.1,97.7,93.0,96.3,3197896,45.2203166868339,,,,,,,,,,,
2008-09-01 12:09:00,94.95,96.45,92.3,93.35,1764515,42.26962074630711,,,,,,,,,,,
2008-09-02 12:09:00,94.35,94.45,92.5,93.0,1599335,41.92012320739801,,,,,,,,,,,
2008-09-04 12:09:00,93.1,95.7,90.0,90.35,1900162,39.272439157743264,,,,,,,,,,,
2008-09-05 12:09:00,89.4,89.9,86.45,87.1,1621581,36.24861073064853,,,,,,,,,,,
2008-09-08 12:09:00,90.0,95.65,89.6,92.35,4576769,43.77916874139768,,,,,,,,,,,
2008-09-09 12:09:00,92.9,96.15,91.3,94.8,2653442,46.92967753319561,,,,,,,,,,,
2008-09-10 12:09:00,94.0,94.8,89.3,90.25,1750467,42.20005534822966,,,,,,,,,,,
2008-09-11 12:09:00,90.15,91.95,88.3,89.25,1235238,41.21688818256634,,,,,,,,,,,
2008-09-12 12:09:00,89.95,90.9,85.5,86.75,1583892,38.7841608375054,,,,,,,,,,,
2008-09-15 12:09:00,84.9,84.95,77.65,80.8,1329962,33.68787789768916,,,,,,,,,,,
2008-09-18 12:09:00,76.0,80.5,73.4,79.85,1179871,32.94355577308674,,,,,,,,,,,
2008-09-19 12:09:00,82.0,87.5,81.55,86.85,2416295,42.946516394683954,,,,,,,,,,,
2008-09-22 12:09:00,88.0,88.95,85.0,87.3,1034890,43.52970263724727,,,,,,,,,,,
2008-09-23 12:09:00,84.6,90.4,84.6,86.3,1000345,42.490292393443035,,,,,,,,,,,
2008-09-24 12:09:00,87.3,88.3,85.1,86.15,716497,42.32702667768938,,,,,,,,,,,
2008-09-25 12:09:00,86.0,87.45,84.6,86.2,2251565,42.40646726096241,,,,,,,,,,,
2008-09-26 12:09:00,86.2,87.55,81.1,82.15,951127,37.85769725792295,,,,,,,,,,,
2008-09-29 12:09:00,82.0,82.0,71.05,73.15,1124586,30.12457349934556,,,,,,,,,,,
2008-09-30 12:09:00,71.1,80.4,68.15,78.45,1486775,38.13840037450624,,,,,,,,,,,
2008-10-01 12:10:00,80.0,81.5,77.6,78.45,713391,38.13840037450624,,,,,,,,,,,
2008-10-06 12:10:00,75.9,78.1,65.0,69.3,1230449,31.016140302460002,89.58622406613766,,,,,,,,,,
2008-10-07 12:10:00,70.6,73.9,63.85,66.35,897427,29.12752075614374,88.6749995929558,,,,,,,,,,
2008-10-08 12:10:00,65.0,65.0,51.05,56.85,2789080,24.048973054859303,87.42696039323205,,,,,,,,,,
2008-10-10 12:10:00,52.0,54.55,46.3,47.6,1034840,20.3317864319269,85.86511880918373,,,,,,,,,,
2008-10-13 12:10:00,50.6,53.9,47.55,52.6,1198261,26.908343448444654,84.56060434607849,,,,,,,,,,
2008-10-14 12:10:00,53.0,57.8,51.7,52.75,1164651,27.10275879400001,83.31312966584012,,,,,,,,,,
2008-10-15 12:10:00,50.0,52.0,47.15,48.15,570310,24.914187394818384,81.93418340443463,,,,,,,,,,
2008-10-16 12:10:00,45.0,52.85,42.55,50.9,1181827,28.624868934666253,80.71715660426074,,,,,,,,,,
2008-10-17 12:10:00,52.0,52.4,45.1,46.5,718932,26.378645490061885,79.37530732566228,,,,,,,,,,
2008-10-20 12:10:00,48.75,48.75,41.25,42.9,940520,24.672716589525436,77.94490311681278,,,18.973246266523844,,,,,,,
2008-10-21 12:10:00,43.95,46.7,42.75,44.85,1982593,27.411107227623674,76.64706377889857,,,18.973246266523844,,,,,,,
2008-10-22 12:10:00,43.95,46.5,42.05,42.9,825325,26.378402259929132,75.32364951305942,,,18.973246266523844,,,,,,,
2008-10-23 12:10:00,40.1,43.15,40.0,40.8,558111,25.27408345028678,73.96978090470415,,,18.973246266523844,,,,,,,
2008-10-24 12:10:00,40.8,40.8,33.1,35.2,649316,22.561587753648297,72.44939733981379,,,18.973246266523844,,,,,,,
2008-10-27 12:10:00,33.1,37.0,29.4,31.35,930585,20.900800693133007,70.83765626766423,,,15.960299059102894,,,,,,,
2008-10-28 12:10:00,35.55,36.5,33.65,35.4,242132,26.989293807712002,69.44794425716759,,,15.960299059102894,,,,,,,
2008-10-31 12:10:00,35.7,41.95,34.0,39.85,1430774,33.084059180588014,68.28724056080809,,,15.960299059102894,,,,,,,
2008-11-03 12:11:00,44.65,45.9,41.0,43.3,1161026,37.44402427374957,67.30734877410974,,,21.485629121090057,,,,,,,
2008-11-04 12:11:00,43.3,47.0,41.4,46.2,3988033,40.92817851425069,66.47960960649759,,,21.485629121090057,,,,,,,
2008-11-05 12:11:00,48.3,49.95,43.05,44.3,1876629,39.38060516453734,65.60982099447808,,,21.485629121090057,,,,,,,
2008-11-06 12:11:00,41.5,46.15,41.3,43.45,1041872,38.67604053008537,64.74080840645934,,,21.485629121090057,,,,,,,
2008-11-07 12:11:00,43.5,44.8,41.2,42.5,932075,37.860741487219926,63.86861984150015,,,21.485629121090057,,,,,,,
2008-11-10 12:11:00,43.5,45.6,43.2,44.8,752179,41.098116584458,63.12083082810799,,,24.530863427209624,,,,,,,
2008-11-11 12:11:00,45.0,47.05,42.0,42.35,1173103,38.78039072077477,62.306288442691994,,,24.530863427209624,,,,,,,
2008-11-12 12:11:00,42.0,43.55,40.0,41.35,1136407,37.84231806238764,61.48447320964525,,,24.530863427209624,,,,,,,
2008-11-14 12:11:00,43.0,43.8,40.0,40.75,670801,37.2599434653819,60.67135661318858,,,24.530863427209624,,,,,,,
2008-11-17 12:11:00,41.0,41.8,36.95,39.7,671325,36.209741450439786,59.84895047149491,,,23.872381052661353,,,,,,,
2008-11-18 12:11:00,39.0,41.9,38.0,38.8,905351,35.29153755868451,59.02350143339707,,,23.872381052661353,,,,,,,
2008-11-19 12:11:00,39.15,40.4,37.15,37.5,604988,33.952267927704526,58.17944255365601,,,23.872381052661353,,,,,,,
2008-11-20 12:11:00,36.0,37.0,33.0,33.75,1034394,30.371794222218796,57.221425198610675,,,23.872381052661353,,,,,,,
2008-11-21 12:11:00,35.0,35.9,30.0,34.5,3102536,31.91817891565148,56.33038891631222,,,23.872381052661353,,,,,,,
2008-11-24 12:11:00,33.8,35.85,33.3,35.15,658158,33.300758095356514,55.49978542939801,,,21.63838306731492,,,,,,,
