datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,1.41,1.44,1.38,1.4,56732,,,,,,,,,,,,
2008-07-18 12:07:00,1.44,1.45,1.39,1.43,27286,,,,,,,,,,,,
2008-07-21 12:07:00,1.43,1.43,1.39,1.39,37320,,,,,,,,,,,,
2008-07-22 12:07:00,1.39,1.43,1.36,1.41,42489,,,,,,,,,,,,
2008-07-23 12:07:00,1.47,1.5,1.44,1.47,68205,,,,,,,,,,,,
2008-07-24 12:07:00,1.53,1.53,1.43,1.47,47723,,,,,,,,,,,,
2008-07-28 12:07:00,1.45,1.54,1.44,1.5,118870,,,,,,,,,,,,
2008-07-29 12:07:00,1.42,1.53,1.42,1.47,58295,,,,,,,,,,,,
2008-07-30 12:07:00,1.49,1.5,1.45,1.46,46455,,,,,,,,,,,,
2008-07-31 12:07:00,1.46,1.5,1.46,1.48,31204,,,,,,,,,,,,
2008-08-01 12:08:00,1.43,1.5,1.43,1.48,21778,,,,,,,,,,,,
2008-08-04 12:08:00,1.5,1.54,1.48,1.53,85002,,,,,,,,,,,,
2008-08-05 12:08:00,1.54,1.69,1.53,1.6,198211,,,,,,,,,,,,
2008-08-06 12:08:00,1.61,1.65,1.54,1.56,74814,69.77011402735218,,,,,,,,,,,
2008-08-07 12:08:00,1.55,1.59,1.52,1.55,58345,67.16211205267497,,,,,,,,,,,
2008-08-08 12:08:00,1.53,1.57,1.52,1.55,33835,67.16211205267497,,,,,,,,,,,
2008-08-11 12:08:00,1.62,1.63,1.55,1.57,86509,69.78211572024448,,,,,,,,,,,
2008-08-12 12:08:00,1.56,1.58,1.53,1.57,45341,69.78211572024448,,,,,,,,,,,
2008-08-13 12:08:00,1.55,1.59,1.54,1.55,42523,63.871868211556176,,,,,,,,,,,
2008-08-14 12:08:00,1.56,1.57,1.51,1.51,62467,54.01784714174973,,,,,,,,,,,
2008-08-18 12:08:00,1.55,1.55,1.51,1.51,35518,54.01784714174974,,,,,,,,,,,
2008-08-19 12:08:00,1.55,1.55,1.5,1.51,33510,54.01784714174974,,,,,,,,,,,
2008-08-20 12:08:00,1.5,1.54,1.5,1.52,22321,56.13111488255156,,,,,,,,,,,
2008-08-21 12:08:00,1.51,1.52,1.48,1.49,33007,48.87421755679026,,,,,,,,,,,
2008-08-25 12:08:00,1.49,1.51,1.48,1.49,27021,48.87421755679026,,,,,,,,,,,
2008-08-26 12:08:00,1.47,1.49,1.45,1.47,22290,44.4327303181371,,,,,,,,,,,
2008-08-27 12:08:00,1.46,1.5,1.46,1.47,24832,44.4327303181371,,,,,,,,,,,
2008-08-28 12:08:00,1.52,1.52,1.43,1.44,49330,38.367193308698205,,,,,,,,,,,
2008-08-29 12:08:00,1.5,1.5,1.45,1.47,27930,46.26661249029711,,,,,,,,,,,
2008-09-01 12:09:00,1.47,1.49,1.45,1.47,18940,46.26661249029711,,,,,,,,,,,
2008-09-02 12:09:00,1.44,1.48,1.44,1.47,35115,46.26661249029711,,,,,,,,,,,
2008-09-04 12:09:00,1.48,1.48,1.46,1.48,24800,48.988582893065676,,,,,,,,,,,
2008-09-05 12:09:00,1.48,1.48,1.45,1.45,22432,42.09867326647559,,,,,,,,,,,
2008-09-08 12:09:00,1.5,1.53,1.46,1.47,38173,47.409025085765094,,,,,,,,,,,
2008-09-09 12:09:00,1.48,1.48,1.42,1.46,38177,45.17794118203851,,,,,,,,,,,
2008-09-10 12:09:00,1.46,1.48,1.46,1.46,12574,45.17794118203851,,,,,,,,,,,
2008-09-11 12:09:00,1.48,1.48,1.42,1.43,58956,38.82145247235127,,,,,,,,,,,
2008-09-12 12:09:00,1.41,1.45,1.41,1.42,31570,36.95495686323958,,,,,,,,,,,
2008-09-15 12:09:00,1.45,1.46,1.36,1.45,97639,45.43123595433791,,,,,,,,,,,
2008-09-18 12:09:00,1.33,1.37,1.25,1.36,46287,31.67329402152319,,,,,,,,,,,
2008-09-19 12:09:00,1.4,1.4,1.35,1.38,43840,36.290460716199185,,,,,,,,,,,
2008-09-22 12:09:00,1.37,1.4,1.31,1.33,39625,30.704348572210307,,,,,,,,,,,
2008-09-23 12:09:00,1.3,1.35,1.3,1.32,22240,29.719052378978787,,,,,,,,,,,
2008-09-24 12:09:00,1.35,1.35,1.31,1.32,18353,29.719052378978787,,,,,,,,,,,
2008-09-25 12:09:00,1.31,1.33,1.3,1.32,22154,29.719052378978787,,,,,,,,,,,
2008-09-26 12:09:00,1.34,1.34,1.29,1.3,33434,27.513596722073018,,,,,,,,,,,
2008-09-29 12:09:00,1.3,1.31,1.06,1.18,76697,18.596402248719343,,,,,,,,,,,
2008-09-30 12:09:00,1.1,1.19,1.06,1.17,39786,18.070794739714444,,,,,,,,,,,
2008-10-01 12:10:00,1.24,1.24,1.15,1.19,21080,22.772131456925663,,,,,,,,,,,
2008-10-06 12:10:00,1.12,1.19,1.05,1.08,61848,16.995606487782,1.389713969281674,,,,,,,,,,
2008-10-07 12:10:00,1.06,1.13,1.05,1.05,73559,15.817172962244115,1.3763918528392556,,,,,,,,,,
2008-10-08 12:10:00,1.05,1.09,0.98,1.04,88778,15.43303848324625,1.3632000154730104,,,,,,,,,,
2008-10-10 12:10:00,0.98,1.03,0.98,0.99,59778,13.648252441235115,1.3485647207485787,,,,,,,,,,
2008-10-13 12:10:00,1.1,1.1,0.96,0.99,52702,13.648252441235115,1.3345033591505953,,,,,,,,,,
2008-10-14 12:10:00,1.0,1.18,0.99,1.03,51392,22.015843627871178,1.3225620509486111,,,,,,,,,,
2008-10-15 12:10:00,1.01,1.03,0.95,0.96,68023,18.616135813806096,1.3083439313035676,,,,,,,,,,
2008-10-16 12:10:00,0.93,0.97,0.89,0.92,60638,17.000598113504296,1.2931147575269573,,,,,,,,,,
2008-10-17 12:10:00,0.92,0.96,0.89,0.9,33880,16.24164948604397,1.2776984925259003,,,,,,,,,,
2008-10-20 12:10:00,0.93,0.93,0.83,0.86,41599,14.816954771326365,1.2613181594856688,,,9.104315252372047,,,,,,,
2008-10-21 12:10:00,0.86,0.95,0.85,0.93,22948,26.901322474026614,1.2483252904862308,,,9.104315252372047,,,,,,,
2008-10-22 12:10:00,0.9,0.93,0.86,0.87,23699,23.786462535350367,1.23348900458481,,,9.104315252372047,,,,,,,
2008-10-23 12:10:00,0.8,0.89,0.7,0.88,28195,25.338124871819858,1.2196266906795232,,,9.104315252372047,,,,,,,
2008-10-24 12:10:00,0.87,0.89,0.78,0.8,54071,21.55694762703473,1.2031707420254243,,,9.104315252372047,,,,,,,
2008-10-27 12:10:00,0.77,0.82,0.67,0.72,98113,18.572241546974965,1.1842228697891333,,,7.710208215626267,,,,,,,
2008-10-28 12:10:00,0.8,0.8,0.7,0.79,14686,27.96992681228035,1.1687631494052457,,,7.710208215626267,,,,,,,
2008-10-31 12:10:00,0.77,0.85,0.77,0.8,27525,29.226551015755277,1.1543018494285695,,,7.710208215626267,,,,,,,
2008-11-03 12:11:00,0.8,0.91,0.8,0.86,41155,36.396387941582084,1.1427606004313706,,,7.710208215626267,,,,,,,
2008-11-04 12:11:00,0.83,0.95,0.81,0.9,53343,40.7088215696546,1.1332405768850424,,,7.710208215626267,,,,,,,
2008-11-05 12:11:00,0.86,0.95,0.85,0.88,16209,39.274947710600394,1.1233095738699426,,,7.710208215626267,,,,,,,
2008-11-06 12:11:00,0.84,0.9,0.82,0.85,7194,37.16057850353821,1.1125915513652391,,,7.710208215626267,,,,,,,
2008-11-07 12:11:00,0.81,0.85,0.81,0.84,27589,36.456050507204665,1.101901686605818,,,7.710208215626267,,,,,,,
2008-11-10 12:11:00,0.83,0.89,0.83,0.87,31775,40.123611340598195,1.0928075028173547,,,13.831284723309764,,,,,,,
2008-11-11 12:11:00,0.9,0.9,0.82,0.84,16349,37.775605160840385,1.082893483099027,,,13.831284723309764,,,,,,,
2008-11-12 12:11:00,0.83,0.85,0.74,0.76,43135,32.34059198161086,1.070230993565732,,,13.831284723309764,,,,,,,
2008-11-14 12:11:00,0.77,0.81,0.72,0.78,69018,34.863706178450855,1.0588493859749188,,,13.831284723309764,,,,,,,
2008-11-17 12:11:00,0.76,0.8,0.73,0.73,46555,31.682759385826373,1.0459533316229612,,,12.492809874933357,,,,,,,
2008-11-18 12:11:00,0.73,0.77,0.71,0.72,26603,31.072142608982702,1.033170848029904,,,12.492809874933357,,,,,,,
2008-11-19 12:11:00,0.7,0.76,0.7,0.71,27171,30.440342136795053,1.0204974814404961,,,12.492809874933357,,,,,,,
2008-11-20 12:11:00,0.7,0.72,0.67,0.68,39733,28.56391212251269,1.007144639031065,,,12.492809874933357,,,,,,,
2008-11-21 12:11:00,0.67,0.74,0.66,0.72,38763,34.372764895500765,0.9958840649514153,,,12.492809874933357,,,,,,,
2008-11-24 12:11:00,0.76,0.76,0.66,0.71,35331,33.636377051696314,0.9846729251493991,,,11.313742391899211,,,,,,,
2008-11-25 12:11:00,0.72,0.76,0.68,0.68,55291,31.45895614213535,0.972724967300403,,,11.313742391899211,,,,,,,
2008-11-26 12:11:00,0.68,0.7,0.64,0.65,46469,29.40876370019795,0.960069086229799,,,11.313742391899211,,,,,,,
2008-11-28 12:11:00,0.65,0.68,0.64,0.68,9425,34.03819391708187,0.9490859848090226,,,11.313742391899211,,,,,,,
2008-12-01 12:12:00,0.68,0.7,0.61,0.65,27341,31.792811234259318,0.9373571226596492,,,10.59577505676539,,,,,,,
2008-12-02 12:12:00,0.65,0.67,0.53,0.66,18508,33.37061537554075,0.9264803727514277,,,10.59577505676539,,,,,,,
2008-12-03 12:12:00,0.66,0.7,0.66,0.68,29250,36.532798175013305,0.9168144757807835,,,10.59577505676539,,,,,,,
2008-12-04 12:12:00,0.68,0.82,0.68,0.81,293895,52.359639519192044,0.912625672808988,,,10.59577505676539,,,,,,,
2008-12-05 12:12:00,0.71,0.91,0.71,0.87,324544,57.61335469783425,0.9109540777968708,,,10.59577505676539,,,,,,,
2008-12-08 12:12:00,0.88,0.9,0.84,0.85,43946,55.41945307360649,0.9085637218048367,,,32.505810478607785,,,,,,,
2008-12-10 12:12:00,0.83,0.87,0.82,0.85,44235,55.41945307360648,0.9062671052634705,,,32.505810478607785,,,,,,,
2008-12-11 12:12:00,0.84,0.85,0.81,0.82,38404,51.97627292531351,0.9028840815276481,,,32.505810478607785,,,,,,,
2008-12-12 12:12:00,0.81,0.99,0.81,0.98,391648,64.60635584388305,0.9059082351932306,,,32.505810478607785,,,,,,,
2008-12-15 12:12:00,0.99,0.99,0.93,0.93,67097,59.3531011189178,0.9068530102836923,,,41.451692203561386,,,,,,,
2008-12-16 12:12:00,0.89,0.98,0.89,0.98,204993,62.62582602079877,0.9097215196843318,,,41.451692203561386,,,,,,,
2008-12-17 12:12:00,0.98,0.98,0.94,0.94,16888,58.563421242931085,0.91090891106926,,,41.451692203561386,,,,,,,
2008-12-18 12:12:00,0.89,0.89,0.89,0.89,5360,53.860230113227466,0.9100889537724263,,,41.451692203561386,,,,,,,
2008-12-19 12:12:00,0.85,0.94,0.85,0.85,94808,50.37481640651641,0.9077325242127233,,,41.451692203561386,,,,,,,
2008-12-22 12:12:00,0.81,0.81,0.81,0.81,16092,47.09290894443593,0.9038998762043813,,,35.468476616186834,,,,,,,
2008-12-23 12:12:00,0.77,0.77,0.77,0.77,7556,44.00543130926391,0.8986489006669546,1.0400122182237468,,35.468476616186834,,,,,,,
2008-12-24 12:12:00,0.73,0.79,0.73,0.73,9408,41.10334607438697,0.8920352182878584,1.033873362417336,,35.468476616186834,,,,,,,
2008-12-26 12:12:00,0.7,0.74,0.7,0.71,39991,39.69379382517445,0.8848965822765699,1.0274600285080817,,35.468476616186834,,,,,,,
2008-12-29 12:12:00,0.7,0.73,0.7,0.73,14421,41.841628845923026,0.878822206501018,1.0215697309138623,,30.38239064242319,,,,,,,
2008-12-30 12:12:00,0.72,0.73,0.71,0.72,34441,41.05430696003853,0.8725938846774487,1.0155980530739839,,30.38239064242319,,,,,,,
2009-01-01 12:01:00,0.74,0.77,0.73,0.77,36091,46.47727047169076,0.8685705950822546,1.0107347252903405,,30.38239064242319,,,,,,,
2009-01-02 12:01:00,0.79,0.81,0.77,0.81,36073,50.40798101870599,0.8662737090005976,1.006759780235086,,30.38239064242319,,,,,,,
2009-01-05 12:01:00,0.8,0.85,0.8,0.85,55705,54.04270900502136,0.8656355243339076,1.003655626171025,,37.29869919389485,,,,,,,
2009-01-06 12:01:00,0.85,0.87,0.81,0.81,37317,50.08914792612422,0.8634537390659112,0.9998208612963513,,37.29869919389485,,,,,,,
2009-01-07 12:01:00,0.83,0.83,0.77,0.77,22440,46.431134301694236,0.8597888865535225,0.9952699531518691,,37.29869919389485,,,,,,,
2009-01-09 12:01:00,0.75,0.77,0.74,0.75,39040,44.674364934528185,0.8554834400220118,0.9904131223963865,,37.29869919389485,,,,,,,
2009-01-13 12:01:00,0.75,0.76,0.73,0.74,17267,43.78237599243601,0.8509546776682075,0.9854544467053689,,35.048793763987106,,,,,,,
2009-01-14 12:01:00,0.75,0.75,0.71,0.74,8829,43.78237599243601,0.8466035138380819,0.9805939626121932,,35.048793763987106,,,,,,,
2009-01-15 12:01:00,0.73,0.74,0.71,0.72,17571,41.844445216951925,0.8416386701581571,0.9754336861248231,,35.048793763987106,,,,,,,
2009-01-16 12:01:00,0.71,0.75,0.7,0.71,65460,40.87034875766239,0.8364763693676411,0.9701775735282919,,35.048793763987106,,,,,,,
2009-01-19 12:01:00,0.71,0.72,0.7,0.72,15016,42.31645686966356,0.8319086686081257,0.965223562171296,,33.593922011059036,,,,,,,
2009-01-20 12:01:00,0.75,0.75,0.72,0.73,3402,43.796729523569645,0.8279122502313365,0.9605656698510723,,33.593922011059036,,,,,,,
2009-01-21 12:01:00,0.73,0.73,0.7,0.7,12038,40.443634203237515,0.8228960835555978,0.9554059536163976,,33.593922011059036,,,,,,,
2009-01-22 12:01:00,0.7,0.73,0.7,0.71,5700,42.03665372063615,0.8184687861612607,0.9505464297824096,,33.593922011059036,,,,,,,
2009-01-23 12:01:00,0.7,0.72,0.69,0.7,5040,40.859664757364264,0.8138229514098387,0.9455851143411738,,33.593922011059036,,,,,,,
2009-01-27 12:01:00,0.69,0.73,0.67,0.68,31382,38.53573710936551,0.8085749925310215,0.940326003166101,,33.22263445335109,,,,,,,
2009-01-28 12:01:00,0.67,0.71,0.67,0.7,4300,42.08319372265498,0.8043171496866678,0.9355670724103367,,33.22263445335109,,,,,,,
2009-01-29 12:01:00,0.72,0.73,0.7,0.73,46467,47.02245693744071,0.8014027516597397,0.9314964373131023,,33.22263445335109,,,,,,,
2009-01-30 12:01:00,0.73,0.75,0.71,0.73,19667,47.02245693744071,0.7986026437515146,0.9275064088514566,,33.22263445335109,,,,,,,
2009-02-02 12:02:00,0.74,0.77,0.73,0.76,65365,51.79069372315844,0.7970888145847885,0.9241894502603387,,35.52486025205482,,,,,,,
2009-02-03 12:02:00,0.74,0.77,0.74,0.76,17330,51.79069372315844,0.795634351267738,0.9209381740175597,,35.52486025205482,,,,,,,
2009-02-04 12:02:00,0.75,0.76,0.73,0.75,10473,50.049241311005304,0.7938447688650816,0.9175532596805783,,35.52486025205482,,,,,,,
