datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,13.1,13.25,12.75,12.83,245325,,,,,,,,,,,,
2008-07-18 12:07:00,13.05,13.65,12.78,13.48,637548,,,,,,,,,,,,
2008-07-21 12:07:00,12.5,13.5,12.0,13.28,234514,,,,,,,,,,,,
2008-07-22 12:07:00,13.5,13.63,13.03,13.38,403635,,,,,,,,,,,,
2008-07-23 12:07:00,13.0,14.68,13.0,14.33,533231,,,,,,,,,,,,
2008-07-24 12:07:00,14.75,14.75,13.98,14.13,436931,,,,,,,,,,,,
2008-07-28 12:07:00,14.5,15.15,14.5,14.75,553601,,,,,,,,,,,,
2008-07-29 12:07:00,14.78,15.98,14.1,15.53,2011017,,,,,,,,,,,,
2008-07-30 12:07:00,15.8,16.43,15.63,16.25,1534065,,,,,,,,,,,,
2008-07-31 12:07:00,16.43,16.45,15.6,16.03,1368181,,,,,,,,,,,,
2008-08-01 12:08:00,15.6,16.38,15.3,15.78,1347378,,,,,,,,,,,,
2008-08-04 12:08:00,16.5,16.5,15.63,16.13,429856,,,,,,,,,,,,
2008-08-05 12:08:00,16.1,17.2,16.03,16.98,1061271,,,,,,,,,,,,
2008-08-06 12:08:00,17.2,17.33,16.15,16.35,1014288,73.21008453240717,,,,,,,,,,,
2008-08-07 12:08:00,16.0,16.8,16.0,16.53,465941,74.3277944204655,,,,,,,,,,,
2008-08-08 12:08:00,16.35,16.95,16.1,16.5,448124,73.775332488006,,,,,,,,,,,
2008-08-11 12:08:00,16.9,17.63,16.53,17.35,790148,78.62343128824608,,,,,,,,,,,
2008-08-12 12:08:00,17.43,17.58,16.7,16.83,327101,70.08714552921096,,,,,,,,,,,
2008-08-13 12:08:00,16.5,17.15,16.5,16.63,304368,67.07092838048814,,,,,,,,,,,
2008-08-14 12:08:00,16.6,16.68,15.9,16.0,350095,58.52668869591019,,,,,,,,,,,
2008-08-18 12:08:00,15.75,16.3,15.38,15.45,200776,52.266732695693854,,,,,,,,,,,
2008-08-19 12:08:00,15.5,16.25,15.38,16.03,329794,57.436857211985426,,,,,,,,,,,
2008-08-20 12:08:00,16.18,16.4,15.9,16.15,430522,58.439843397556935,,,,,,,,,,,
2008-08-21 12:08:00,16.1,16.15,15.83,15.85,265286,54.95341582057304,,,,,,,,,,,
2008-08-25 12:08:00,17.0,17.0,16.15,16.25,207836,58.507778289368346,,,,,,,,,,,
2008-08-26 12:08:00,15.5,16.43,15.5,16.25,255910,58.50777828936834,,,,,,,,,,,
2008-08-27 12:08:00,16.0,16.38,15.9,15.98,147224,55.104038007292736,,,,,,,,,,,
2008-08-28 12:08:00,16.05,16.15,15.58,15.6,595003,50.63893117980218,,,,,,,,,,,
2008-08-29 12:08:00,15.9,16.68,15.78,16.35,462977,57.891338901807224,,,,,,,,,,,
2008-09-01 12:09:00,16.08,17.0,16.05,16.6,611770,60.000988577537846,,,,,,,,,,,
2008-09-02 12:09:00,16.88,16.95,16.63,16.68,308442,60.67986169115108,,,,,,,,,,,
2008-09-04 12:09:00,16.53,16.83,16.5,16.6,254596,59.590674967125416,,,,,,,,,,,
2008-09-05 12:09:00,16.55,17.4,16.25,17.15,582237,64.33098030088911,,,,,,,,,,,
2008-09-08 12:09:00,17.58,17.98,17.15,17.25,982414,65.13187479989321,,,,,,,,,,,
2008-09-09 12:09:00,17.1,17.3,16.88,16.95,207382,60.726637483662586,,,,,,,,,,,
2008-09-10 12:09:00,16.98,17.0,16.65,16.75,156437,57.914377007340455,,,,,,,,,,,
2008-09-11 12:09:00,16.5,16.65,16.23,16.35,126955,52.66164318181041,,,,,,,,,,,
2008-09-12 12:09:00,16.45,16.7,15.75,15.9,241712,47.44786136520987,,,,,,,,,,,
2008-09-15 12:09:00,15.75,15.75,14.2,14.68,483852,36.80806275054697,,,,,,,,,,,
2008-09-18 12:09:00,15.0,16.55,12.5,16.35,796828,52.50747380351511,,,,,,,,,,,
2008-09-19 12:09:00,16.5,16.85,15.75,16.1,318774,50.485405771861316,,,,,,,,,,,
2008-09-22 12:09:00,16.25,16.3,16.08,16.13,225010,50.730604269045166,,,,,,,,,,,
2008-09-23 12:09:00,15.5,16.7,15.5,16.13,319259,50.730604269045166,,,,,,,,,,,
2008-09-24 12:09:00,16.13,16.6,16.03,16.2,173665,51.38212272799052,,,,,,,,,,,
2008-09-25 12:09:00,16.35,16.65,16.13,16.48,791342,54.002297744369635,,,,,,,,,,,
2008-09-26 12:09:00,16.3,16.63,16.0,16.0,240920,49.1155368165737,,,,,,,,,,,
2008-09-29 12:09:00,16.08,16.28,15.5,15.55,515832,45.003898105579886,,,,,,,,,,,
2008-09-30 12:09:00,15.5,16.58,15.5,16.33,391782,52.436437195499494,,,,,,,,,,,
2008-10-01 12:10:00,16.93,18.25,16.35,18.05,1438845,63.99263894356461,,,,,,,,,,,
2008-10-06 12:10:00,17.73,18.45,17.0,17.55,891661,59.46929349173224,15.793031576214805,,,,,,,,,,
2008-10-07 12:10:00,17.55,18.45,17.0,17.33,286113,57.54198199076827,15.853304847735794,,,,,,,,,,
2008-10-08 12:10:00,16.75,17.0,15.75,16.53,320603,51.06153463775413,15.87984191253047,,,,,,,,,,
2008-10-10 12:10:00,15.98,15.98,14.5,15.03,314693,41.60110265939943,15.846514778705746,,,,,,,,,,
2008-10-13 12:10:00,16.0,16.13,14.95,15.5,870646,45.03728769835909,15.83292596385454,,,,,,,,,,
2008-10-14 12:10:00,16.13,16.25,15.88,16.0,321371,48.50837339960206,15.839477886840637,,,,,,,,,,
